subject_id,session_id,run_id,difficulty_level,run_key,exclusion_reason
sub-cp036,ses-20211218,run-001,level-000,sub-cp036_ses-20211218_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp037,ses-20210113,run-001,level-000,sub-cp037_ses-20210113_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp037,ses-20210113,run-002,level-000,sub-cp037_ses-20210113_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp038,ses-20220112,run-001,level-000,sub-cp038_ses-20220112_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp038,ses-20220112,run-002,level-000,sub-cp038_ses-20220112_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp039,ses-20211219,run-001,level-000,sub-cp039_ses-20211219_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp039,ses-20211219,run-002,level-000,sub-cp039_ses-20211219_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp042,ses-20220111,run-001,level-000,sub-cp042_ses-20220111_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp042,ses-20220111,run-002,level-000,sub-cp042_ses-20220111_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp043,ses-20220127,run-001,level-000,sub-cp043_ses-20220127_level-000_run-001,Excluded by Phase 03 four-class filter: level-000 rest run
sub-cp043,ses-20220127,run-002,level-000,sub-cp043_ses-20220127_level-000_run-002,Excluded by Phase 03 four-class filter: level-000 rest run
