phase,path,sha256,execution_policy
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\scripts\freeze_phase06_contract.py,eae23612595c1f907c09cb2f6072823571c28ad79aa2cae87533a336fc5cadbf,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\scripts\initialize_phase06.py,4186dc8e9e376cf364bdf688b3ce44621fb96e5f001ffacb883e1d22b63608ff,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\scripts\persist_phase06_final_confirmation_notebook.py,fb7d60ee8d74072433d12b52dca3d9ce6095ec0c5123908f6249bc4f3f82df01,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\scripts\persist_phase06_quick_screen_notebook.py,5d55f066df4cfbec248a4f21095fb9dc9e2f1b2e7235162e04db03ecea1b283f,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\scripts\resolve_phase06_selection_and_freeze.py,a7590b607456c559293c9bde503acc4f0ccde98ca765cca33bb9a64447f08f98,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\scripts\run_phase06_final_confirmation.py,0351f8f54dfb7e6f4b10dd1c3588d243a1e34bfe6cc7ec2253c357a3fd71939e,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\scripts\run_phase06_quick_screen.py,59068d1599b936bb1b3f65351b063fff768fcd294678dc1aab253200a85d2ec0,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\scripts\seal_phase06_outer_evidence.py,bf829025d3f389f6df51353620384f768c8a19b4fbf0a016f8b43b574efdb3f0,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\scripts\select_phase06_models_from_inner_evidence.py,2b606465dbea639659dc37f315e81e26a2164b5357a3bb253580e9720daec907,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\scripts\verify_phase06_final_confirmation.py,ef2651fc9c2c8eb739336db9b54a007dfecd25b833627d727e136e89b8c86252,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\scripts\verify_phase06_quick_screen.py,64578b4612a5c7dc0ebc6fe2c0669fab6279e479b64075c390fa7469649bf98a,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\scripts\build_phase07_notebook.py,2774b36141e58f41b4d16c3a7061803547d1d234b5d5d12e7783bed601bc84c4,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\scripts\consolidate_analyze_and_freeze_phase07.py,27ba39b2288f32715060197cfc6633915306c34b98a8c22a29080d817698b826,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\scripts\freeze_phase07_contract.py,d19a8e9c9dc43dbc9b08f448b9679cd0342604be448dc65f9459f061e50c8d6e,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\scripts\initialize_phase07.py,49d73a8870b351634afb867ea760d12764e0d8541637736b6cf8e4a496f1eae1,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\scripts\run_phase07_unimodal_batch.py,eb9c98be028ea3f23bd38c75a40ac625e6f9f1f3c7ebf5f94ddce4d90955ffa3,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\scripts\verify_phase07_final_results.py,80d7b9ae4fd7f595f0e9f64ee60e1ed545a92635f4aedb4853e6bffd58ef6973,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\scripts\verify_phase07_unimodal_execution.py,9b8781726c59951212c485deeb6c1636fa071de643ce776a5af883c8aa244e5c,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\scripts\analyze_phase08_conditions.py,722eeb6bada62946ab4f47f293c49c9f5b156d86769335cdb7f45f28b79d738f,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\scripts\build_phase08_notebook.py,aac8593fbb52118a01e4eb07b1fd8de11931f254e3eaa47dcf427b434adb8d49,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\scripts\consolidate_phase08_oof.py,ece6c29896d51ff5c8a2ec2ab96daebc814b146554d2388807926eb8c93e7ddd,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\scripts\freeze_phase08.py,632a0195f66e3c48fd8cb40e7d61b66e4978dbb7a60907b4fa37efbe5a95a8e7,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\scripts\freeze_phase08_contract.py,25803a142c8b7fc114aef5e789db1bab49a2898be2b854416461725b14231d55,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\scripts\initialize_phase08.py,6d8210ec3c567ceb1875c064bcbdf21b2c588f5fbdbf60caf435257e6d8cdbbf,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\scripts\run_phase08_batch.py,22a620381d9d879ee6f5034f2db6da4aa54dab965c82c3f5143a00fc9e34131c,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\scripts\update_phase08_execution_notebook.py,9ed73c7805caf7e74a37404411c33514dcff777c9797e0009eaf496f1c128672,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\scripts\update_phase08_final_notebook.py,0d7253848ec2d7528f90350fa0cbca75ad70dd968e447bdda04c10a1c01d223a,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\scripts\verify_phase08_execution.py,79280488dfca0f1d2aa825ba815ccfadb25f5c034a02f879de9dbcff3500b36f,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\scripts\verify_phase08_final_analysis.py,63b40079b6204e12a7b0398eb6e7d877e594b012ea67fcbd9f40d946c5a840a4,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\scripts\verify_phase08_freeze.py,899d4be377b6fa81fc676fffed97d9eb72c544929342f37a3f9fc72fcb35a982,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\scripts\analyze_phase09_robustness.py,9a75746038f45f36843778e8af5b000ede349854c4c2f86acbb7fc18141c53dd,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\scripts\append_phase09_contract_notebook.py,48bd0c9cf9c0aba1d4c0eeb2e8fda627a960f26dce93f3b53c2a3852b72f2e64,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\scripts\build_phase09_notebook.py,2003e1e1465192a136b01aa0b6ec89560c58509272564ccf7796adcd6a5aedf9,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\scripts\consolidate_phase09_oof.py,3f6228f513a0402571219d432c56ee9d493bd99b857a390625321dd5eb1d8f72,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\scripts\freeze_phase09.py,0db2431c1ff6f9a671ca4911855085446d93715bf0aec501b037b733dcc214af,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\scripts\freeze_phase09_contract.py,c46652e76d592d6a91d1f8a04a899224fd600761e9989a3f1cd56c9087273912,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\scripts\initialize_phase09.py,2ae3663d9d13a2f711073bbacae408b115e1fba3eb82e3e1353a1c394d54ab86,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\scripts\run_phase09_batch.py,bbbcecc76090a4cec78de3395d832bc5735ea7d56bfb0bfa27d042b43a3e600c,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\scripts\update_phase09_analysis_notebook.py,2d8688b1863b4f04d4981787b825b8cb7adc2227c2d80c5f8a540582ffaecde9,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\scripts\update_phase09_execution_notebook.py,bcd3ef3c6b459c35821d7e8ecbaac116a474d6dc72a93ae338caa7c03c051cd2,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\scripts\verify_phase09_execution.py,b4f3e7788b71b4fc6d498efa6a45f11d1e308cd5b476d4dafc71226d3c1e5fa8,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\scripts\verify_phase09_final_analysis.py,a0adaede50443398c29f9dc242724881409830cba8d344aac7ede54d4b0df146,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\scripts\verify_phase09_freeze.py,8c436b84f261f6cb078eb8479a0dfcd7c24312e9ace3390002a0c3b632f0edef,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
10,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\scripts\execute_phase10_notebook.py,9ea62fd46eb77fe7013ce13c4ec92fe6259dd23a6022cde35c194d60b44cf743,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
10,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\scripts\freeze_phase10_core_contract.py,26239875970944f080f8f39a155b2f3c092d851fe15cf42eb4cae694dcced03e,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
10,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\scripts\initialize_phase10.py,321c4f19e17576bd87da7e7fa001c6e1613d2a60d3f7953efd22981f90f1cb73,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
10,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\scripts\initialize_phase10_core.py,4ead4d244a15aff74be02d591bb67bc20988634d1307ddad5babd0f6b7485773,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
10,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\scripts\persist_phase10_final_synthesis_notebook.py,e7392a230eca3cd4f5436e13035af6bf4e6de508e005cbd9b9a06f13f0aab86f,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
10,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\scripts\run_phase10_final_synthesis.py,37d3cb54cfa5a6c9e3224990780d6ea3392d5bdedaebaafb96c714816d126ad9,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
10,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\scripts\verify_phase10_core_contract.py,0568784dd77a4e522f6d26f34bc4769934d8ae421c6a4d9a4c19db7934ee1fd9,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
10,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\scripts\verify_phase10_final_synthesis.py,7006972f573eb005df8d591e538e60f79b96d303735852f162e6710d0ca44364,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
10,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\scripts\verify_phase10_initialization.py,bf7af9c27d5dab6cf3e44bd4da5e821f8f4cb8a072794ab348e3db585bd6010c,READ_ONLY_REFERENCE; DO_NOT RERUN TRAINING/PREDICTION DURING REPRODUCTION VERIFY
