feature_name,modality,source_provenance,non_missing_count,constant_value,was_single_value_before_repair,decision
ecg_lslshimmerecg_ecg_projection_la_ra_mv_missing_ratio,ecg,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmerecg_feat-chunk_level-01B_run-001_dat.csv | source_column=ecg_projection_la_ra_mV,482,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
emg_lslshimmeremg_emg_wrist_flexor_mv_missing_ratio,emg,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-01B_run-001_dat.csv | source_column=emg_wrist_flexor_mV,484,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
emg_lslshimmeremg_emg_wrist_flexor_mv_num_missing,emg,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-01B_run-001_dat.csv | source_column=emg_wrist_flexor_mV,484,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
emg_signal_missing_ratio,emg,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-01B_run-001_dat.csv | source_column=derived,484,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
emg_signal_num_missing,emg,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslshimmeremg_feat-chunk_level-01B_run-001_dat.csv | source_column=derived,484,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_gaze_missing_ratio,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=derived,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_gaze_num_missing,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=derived,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_convergence_distance_mm_iqr,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=convergence_distance_mm,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_convergence_distance_mm_max,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=convergence_distance_mm,469,-107374176.0,False,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_convergence_distance_mm_mean,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=convergence_distance_mm,469,-107374176.0,False,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_convergence_distance_mm_median,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=convergence_distance_mm,469,-107374176.0,False,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_convergence_distance_mm_min,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=convergence_distance_mm,469,-107374176.0,False,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_convergence_distance_mm_missing_ratio,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=convergence_distance_mm,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_convergence_distance_mm_num_missing,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=convergence_distance_mm,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_convergence_distance_mm_range,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=convergence_distance_mm,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_convergence_distance_mm_rms,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=convergence_distance_mm,469,107374176.0,False,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_convergence_distance_mm_slope,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=convergence_distance_mm,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_convergence_distance_mm_std,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=convergence_distance_mm,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_convergence_distance_validity_iqr,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=convergence_distance_validity,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_convergence_distance_validity_max,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=convergence_distance_validity,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_convergence_distance_validity_mean,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=convergence_distance_validity,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_convergence_distance_validity_median,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=convergence_distance_validity,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_convergence_distance_validity_min,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=convergence_distance_validity,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_convergence_distance_validity_missing_ratio,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=convergence_distance_validity,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_convergence_distance_validity_num_missing,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=convergence_distance_validity,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_convergence_distance_validity_range,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=convergence_distance_validity,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_convergence_distance_validity_rms,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=convergence_distance_validity,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_convergence_distance_validity_slope,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=convergence_distance_validity,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_convergence_distance_validity_std,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=convergence_distance_validity,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_eye_openness_l_missing_ratio,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=eye_openness_l,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_eye_openness_l_num_missing,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=eye_openness_l,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_eye_openness_r_missing_ratio,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=eye_openness_r,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_eye_openness_r_num_missing,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=eye_openness_r,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_gaze_direction_l_x_missing_ratio,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=gaze_direction_l_x,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_gaze_direction_l_x_num_missing,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=gaze_direction_l_x,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_gaze_direction_l_y_missing_ratio,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=gaze_direction_l_y,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_gaze_direction_l_y_num_missing,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=gaze_direction_l_y,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_gaze_direction_l_z_min,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=gaze_direction_l_z,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_gaze_direction_l_z_missing_ratio,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=gaze_direction_l_z,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_gaze_direction_l_z_num_missing,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=gaze_direction_l_z,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_gaze_direction_r_x_missing_ratio,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=gaze_direction_r_x,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
eye_lslhtcviveeye_gaze_direction_r_x_num_missing,eye_tracking,E:\hdc-vr-pilot\vrdataset\dataPackage\task-ils\sub-cp003\ses-20210206\level-01B_run-001\sub-cp003_ses-20210206_task-ils_stream-lslhtcviveeye_feat-chunk_level-01B_run-001_dat.csv | source_column=gaze_direction_r_x,469,0.0,True,RECORD_ONLY_KEEP_GLOBAL_TABLE_FOLD_LOCAL_VARIANCE_FILTER_LATER
