run_key,subject_id,outer_fold,dimension,seed,levels,feature_k,true_class,predicted_class,target_score,similarity_temperature,similarity_prediction,ridge_alpha,ridge_prediction_raw,ridge_prediction_bounded,similarity_class_0,similarity_class_1,similarity_class_2,similarity_class_3
sub-cp011_ses-20210408_level-01B_run-001,sub-cp011,1,1000,42,51,50,0,0,1.0,0.05,2.174118473832567,0.1,1.6497154079069922,1.6497154079069922,0.901275396347046,0.8746553659439087,0.8556350469589233,0.868336021900177
sub-cp011_ses-20210408_level-01B_run-007,sub-cp011,1,1000,42,51,50,0,0,1.0,0.05,2.370547489954107,0.1,1.0864590511798389,1.0864590511798389,0.821229875087738,0.7929795980453491,0.7821163535118103,0.8096759915351868
sub-cp011_ses-20210408_level-01B_run-012,sub-cp011,1,1000,42,51,50,0,0,1.0,0.05,2.426986961129379,0.1,1.7570856898522205,1.7570856898522205,0.8662803769111633,0.8397619724273682,0.834496796131134,0.8595448732376099
sub-cp011_ses-20210408_level-02B_run-003,sub-cp011,1,1000,42,51,50,1,3,2.0,0.05,3.0877488907204977,0.1,2.58998673402236,2.58998673402236,0.6982563138008118,0.6831415295600891,0.7152449488639832,0.758027970790863
sub-cp011_ses-20210408_level-02B_run-008,sub-cp011,1,1000,42,51,50,1,0,2.0,0.05,2.398219098721233,0.1,2.097633659387491,2.097633659387491,0.8992325067520142,0.8915991187095642,0.8964492082595825,0.8835635781288147
sub-cp011_ses-20210408_level-02B_run-010,sub-cp011,1,1000,42,51,50,1,2,2.0,0.05,2.361597183311244,0.1,2.713015736358533,2.713015736358533,0.9057857990264891,0.9264408946037292,0.9382206201553344,0.8623182773590088
sub-cp011_ses-20210408_level-03B_run-002,sub-cp011,1,1000,42,51,50,2,3,3.0,0.05,3.039116758863309,0.1,2.870769298669694,2.870769298669694,0.7480294108390808,0.752257764339447,0.7787927389144897,0.8088387250900269
sub-cp011_ses-20210408_level-03B_run-005,sub-cp011,1,1000,42,51,50,2,3,3.0,0.05,2.643908966724986,0.1,2.9438796404060885,2.9438796404060885,0.8720377087593079,0.8554162979125977,0.8787143230438232,0.8833019137382507
sub-cp011_ses-20210408_level-03B_run-011,sub-cp011,1,1000,42,51,50,2,3,3.0,0.05,3.0744374520596307,0.1,3.1445567860632884,3.1445567860632884,0.8066905736923218,0.7897300720214844,0.8296575546264648,0.864777684211731
sub-cp011_ses-20210408_level-04B_run-004,sub-cp011,1,1000,42,51,50,3,3,4.0,0.05,3.372117176777368,0.1,2.938494728526749,2.938494728526749,0.7461987137794495,0.7263391613960266,0.7666947245597839,0.8369390368461609
sub-cp011_ses-20210408_level-04B_run-006,sub-cp011,1,1000,42,51,50,3,3,4.0,0.05,3.41612491477656,0.1,4.17293602583843,4.0,0.7740568518638611,0.7748236656188965,0.8139700293540955,0.8791679739952087
sub-cp011_ses-20210408_level-04B_run-009,sub-cp011,1,1000,42,51,50,3,3,4.0,0.05,3.2294241729984114,0.1,3.1903760419252767,3.1903760419252767,0.8130050897598267,0.7975185513496399,0.8241270780563354,0.8874881863594055
sub-cp016_ses-20210528_level-01B_run-001,sub-cp016,1,1000,42,51,50,0,0,1.0,0.05,1.7346322354825652,0.1,0.790165926628215,1.0,0.9483423233032228,0.928039848804474,0.8887118101119995,0.8199846744537354
sub-cp016_ses-20210528_level-01B_run-007,sub-cp016,1,1000,42,51,50,0,0,1.0,0.05,1.8366607667784012,0.1,1.0660800388995786,1.0660800388995786,0.9076164364814758,0.8858222365379333,0.8634256720542908,0.7997859716415405
sub-cp016_ses-20210528_level-01B_run-012,sub-cp016,1,1000,42,51,50,0,0,1.0,0.05,1.7917408922403475,0.1,0.8181182142765093,1.0,0.9403828382492064,0.9110187292099,0.8886586427688599,0.8307642936706543
sub-cp016_ses-20210528_level-02B_run-003,sub-cp016,1,1000,42,51,50,1,1,2.0,0.05,1.928319354319008,0.1,1.4995938481654263,1.4995938481654263,0.930911123752594,0.935596227645874,0.906553030014038,0.8117691278457642
sub-cp016_ses-20210528_level-02B_run-008,sub-cp016,1,1000,42,51,50,1,1,2.0,0.05,1.9333644612002665,0.1,1.878733396057256,1.878733396057256,0.9165045022964478,0.93180513381958,0.8938168883323669,0.7902098894119263
sub-cp016_ses-20210528_level-02B_run-010,sub-cp016,1,1000,42,51,50,1,1,2.0,0.05,2.009419458710459,0.1,1.926848608649024,1.926848608649024,0.8980916142463684,0.9189619421958924,0.8877546191215515,0.7875410914421082
sub-cp016_ses-20210528_level-03B_run-002,sub-cp016,1,1000,42,51,50,2,2,3.0,0.05,2.2999892577807337,0.1,2.904705459544573,2.904705459544573,0.83651202917099,0.8650873899459839,0.8692752122879028,0.7736217975616455
sub-cp016_ses-20210528_level-03B_run-005,sub-cp016,1,1000,42,51,50,2,1,3.0,0.05,2.27406637044068,0.1,3.169042957134053,3.169042957134053,0.8503614664077759,0.8790137767791748,0.8789536356925964,0.7857619524002075
sub-cp016_ses-20210528_level-03B_run-011,sub-cp016,1,1000,42,51,50,2,1,3.0,0.05,2.247801975744713,0.1,2.885834031885839,2.885834031885839,0.8465144038200378,0.8754290342330933,0.8713225722312927,0.779011607170105
sub-cp016_ses-20210528_level-04B_run-004,sub-cp016,1,1000,42,51,50,3,3,4.0,0.05,3.033900459720182,0.1,4.078310406262676,4.0,0.8742132782936096,0.8675373792648315,0.8985497355461121,0.9307637214660645
sub-cp016_ses-20210528_level-04B_run-006,sub-cp016,1,1000,42,51,50,3,3,4.0,0.05,3.2086087797374088,0.1,4.033923653889797,4.0,0.8702600598335266,0.8604452610015869,0.8948538899421692,0.945206344127655
sub-cp016_ses-20210528_level-04B_run-009,sub-cp016,1,1000,42,51,50,3,3,4.0,0.05,2.87214472605227,0.1,3.603011687426316,3.603011687426316,0.8796787858009338,0.8668152689933777,0.8987092971801758,0.9165827631950378
sub-cp027_ses-20210722_level-01B_run-001,sub-cp027,1,1000,42,51,50,0,1,1.0,0.05,1.9151246215474025,0.1,0.8542188949128933,1.0,0.9169555306434632,0.922546684741974,0.8872494101524353,0.8048094511032104
sub-cp027_ses-20210722_level-01B_run-007,sub-cp027,1,1000,42,51,50,0,1,1.0,0.05,1.850015409553833,0.1,0.8985288019496602,1.0,0.927117109298706,0.9307219982147216,0.8874355554580688,0.7998905777931213
sub-cp027_ses-20210722_level-01B_run-012,sub-cp027,1,1000,42,51,50,0,0,1.0,0.05,1.8413700255651797,0.1,1.312590508473009,1.312590508473009,0.9433278441429138,0.9376078248023988,0.9012352228164672,0.8245372176170349
sub-cp027_ses-20210722_level-02B_run-003,sub-cp027,1,1000,42,51,50,1,1,2.0,0.05,2.0385286122178687,0.1,2.1643271446247327,2.1643271446247327,0.9099246859550476,0.938149392604828,0.9032825827598572,0.8097283244132996
sub-cp027_ses-20210722_level-02B_run-008,sub-cp027,1,1000,42,51,50,1,1,2.0,0.05,2.1604596044724,0.1,2.2203183233775765,2.2203183233775765,0.8775297403335571,0.9083623886108398,0.8929394483566284,0.7893202900886536
sub-cp027_ses-20210722_level-02B_run-010,sub-cp027,1,1000,42,51,50,1,1,2.0,0.05,2.0163056998742226,0.1,2.036711303215359,2.036711303215359,0.9059449434280396,0.9280914664268494,0.8944018483161926,0.8044955134391785
sub-cp027_ses-20210722_level-03B_run-002,sub-cp027,1,1000,42,51,50,2,2,3.0,0.05,2.319586054134791,0.1,3.0194840575232957,3.0194840575232957,0.9002672433853149,0.9299998879432678,0.9315733313560486,0.8509107232093811
sub-cp027_ses-20210722_level-03B_run-005,sub-cp027,1,1000,42,51,50,2,1,3.0,0.05,2.2185019072402192,0.1,2.2144865137214578,2.2144865137214578,0.8663864731788635,0.893301248550415,0.8870366811752319,0.7931402325630188
sub-cp027_ses-20210722_level-03B_run-011,sub-cp027,1,1000,42,51,50,2,1,3.0,0.05,2.270167409274424,0.1,3.009707002551034,3.009707002551034,0.8924139142036438,0.9204061627388,0.9188106060028076,0.8309212923049927
sub-cp027_ses-20210722_level-04B_run-004,sub-cp027,1,1000,42,51,50,3,3,4.0,0.05,3.1439647489604603,0.1,4.149882671276824,4.0,0.862008810043335,0.8650615811347961,0.8997728228569031,0.934740662574768
sub-cp027_ses-20210722_level-04B_run-006,sub-cp027,1,1000,42,51,50,3,2,4.0,0.05,2.7675277723782177,0.1,3.723744796786953,3.723744796786953,0.8827033638954163,0.8878596425056458,0.9165771007537842,0.910774290561676
sub-cp027_ses-20210722_level-04B_run-009,sub-cp027,1,1000,42,51,50,3,3,4.0,0.05,2.9723334570131668,0.1,4.15232139471107,4.0,0.875805139541626,0.877698540687561,0.912641942501068,0.9280949831008912
sub-cp033_ses-20211215_level-01B_run-001,sub-cp033,1,1000,42,51,50,0,1,1.0,0.05,2.0483336748805843,0.1,1.9098436717813316,1.9098436717813316,0.907669484615326,0.9297162294387816,0.9012352228164672,0.8117691278457642
sub-cp033_ses-20211215_level-01B_run-007,sub-cp033,1,1000,42,51,50,0,0,1.0,0.05,2.146544632863652,0.1,1.6632614248306408,1.6632614248306408,0.914143204689026,0.8975823521614075,0.8936308026313782,0.8644114136695862
sub-cp033_ses-20211215_level-01B_run-012,sub-cp033,1,1000,42,51,50,0,0,1.0,0.05,2.146347221819991,0.1,1.698149050094166,1.698149050094166,0.9124186635017396,0.8890975117683411,0.8789270520210266,0.8704814910888672
sub-cp033_ses-20211215_level-02B_run-003,sub-cp033,1,1000,42,51,50,1,2,2.0,0.05,2.426705094812556,0.1,2.531890585827915,2.531890585827915,0.9084123969078064,0.9026886820793152,0.9225064516067504,0.8880637884140015
sub-cp033_ses-20211215_level-02B_run-008,sub-cp033,1,1000,42,51,50,1,1,2.0,0.05,1.92120415273176,0.1,1.0622656983791878,1.0622656983791878,0.93226420879364,0.9375304579734802,0.902750849723816,0.8234383463859558
sub-cp033_ses-20211215_level-02B_run-010,sub-cp033,1,1000,42,51,50,1,0,2.0,0.05,1.918597056076884,0.1,1.467709246961714,1.467709246961714,0.9409134984016418,0.928865134716034,0.9036016464233398,0.8505967259407043
sub-cp033_ses-20211215_level-03B_run-002,sub-cp033,1,1000,42,51,50,2,2,3.0,0.05,2.4484227832160945,0.1,2.660298123215717,2.660298123215717,0.9010100960731506,0.8988460302352905,0.909398078918457,0.8892150521278381
sub-cp033_ses-20211215_level-03B_run-005,sub-cp033,1,1000,42,51,50,2,2,3.0,0.05,2.423089559933321,0.1,2.054847972521148,2.054847972521148,0.902999997138977,0.9067118763923644,0.9204325079917908,0.8831972479820251
sub-cp033_ses-20211215_level-03B_run-011,sub-cp033,1,1000,42,51,50,2,2,3.0,0.05,2.273329013928149,0.1,2.1608088600490536,2.1608088600490536,0.922155737876892,0.9244035482406616,0.9375026822090148,0.8668708205223083
sub-cp033_ses-20211215_level-04B_run-004,sub-cp033,1,1000,42,51,50,3,3,4.0,0.05,3.316663277345373,0.1,3.71693436855224,3.71693436855224,0.8446571826934814,0.8404582738876343,0.88116055727005,0.9352639317512512
sub-cp033_ses-20211215_level-04B_run-006,sub-cp033,1,1000,42,51,50,3,3,4.0,0.05,3.049731517683055,0.1,4.0450815339024295,4.0,0.87469083070755,0.8687753081321716,0.901261866092682,0.9332754611968994
sub-cp033_ses-20211215_level-04B_run-009,sub-cp033,1,1000,42,51,50,3,3,4.0,0.05,3.1945399705874653,0.1,3.892136176343021,3.892136176343021,0.8639456033706665,0.8511093854904175,0.8829420208930969,0.9359965324401855
sub-cp039_ses-20211219_level-01B_run-001,sub-cp039,1,1000,42,51,50,0,3,1.0,0.05,3.209130193665135,0.1,2.9512036719707253,2.9512036719707253,0.695974588394165,0.6901047229766846,0.7328469157218933,0.7734124660491943
sub-cp039_ses-20211219_level-01B_run-007,sub-cp039,1,1000,42,51,50,0,3,1.0,0.05,3.170686832590889,0.1,2.211400100724302,2.211400100724302,0.6785433888435364,0.6598019003868103,0.6905437707901001,0.745940089225769
sub-cp039_ses-20211219_level-01B_run-012,sub-cp039,1,1000,42,51,50,0,3,1.0,0.05,3.096742366048163,0.1,2.024131700248762,2.024131700248762,0.6732105612754822,0.6451792120933533,0.6778607964515686,0.7302939295768738
sub-cp039_ses-20211219_level-02B_run-003,sub-cp039,1,1000,42,51,50,1,3,2.0,0.05,3.0680223494136407,0.1,3.1596388994169,3.1596388994169,0.6199352741241455,0.613457977771759,0.6462730169296265,0.6803727149963379
sub-cp039_ses-20211219_level-02B_run-008,sub-cp039,1,1000,42,51,50,1,2,2.0,0.05,2.64002636643206,0.1,2.022400215791545,2.022400215791545,0.7426435351371765,0.7414519190788269,0.7573885917663574,0.756144106388092
sub-cp039_ses-20211219_level-02B_run-010,sub-cp039,1,1000,42,51,50,1,3,2.0,0.05,3.2365553741676147,0.1,3.4046507575603764,3.4046507575603764,0.6489076614379883,0.6430128812789917,0.6785520911216736,0.7286717891693115
sub-cp039_ses-20211219_level-03B_run-002,sub-cp039,1,1000,42,51,50,2,3,3.0,0.05,3.289971384962204,0.1,3.6879378086097407,3.6879378086097407,0.5574005246162415,0.5571591854095459,0.5960994958877563,0.6463069915771484
sub-cp039_ses-20211219_level-03B_run-005,sub-cp039,1,1000,42,51,50,2,3,3.0,0.05,3.119178454630932,0.1,2.4515437375431497,2.4515437375431497,0.6373664736747742,0.6193122267723083,0.6481608152389526,0.6994202136993408
sub-cp039_ses-20211219_level-03B_run-011,sub-cp039,1,1000,42,51,50,2,3,3.0,0.05,3.176509172323052,0.1,2.7818278090952675,2.7818278090952675,0.660103976726532,0.6550824046134949,0.6939737200737,0.7336952686309814
sub-cp039_ses-20211219_level-04B_run-004,sub-cp039,1,1000,42,51,50,3,3,4.0,0.05,3.082395469841134,0.1,2.632085247841312,2.632085247841312,0.6233047842979431,0.6052826642990112,0.6312502026557922,0.681419312953949
sub-cp039_ses-20211219_level-04B_run-006,sub-cp039,1,1000,42,51,50,3,3,4.0,0.05,3.330666825063449,0.1,3.314561155125504,3.314561155125504,0.6240211129188538,0.6149537563323975,0.6552069187164307,0.7141245007514954
sub-cp039_ses-20211219_level-04B_run-009,sub-cp039,1,1000,42,51,50,3,3,4.0,0.05,3.286607510545968,0.1,3.039861764219141,3.039861764219141,0.6421421766281128,0.6234385371208191,0.6571479439735413,0.7224970459938049
sub-cp043_ses-20220127_level-01B_run-001,sub-cp043,1,1000,42,51,50,0,0,1.0,0.05,2.047713841302108,0.1,1.360535360724677,1.360535360724677,0.9285233020782472,0.91774982213974,0.9114986062049866,0.8503351211547852
sub-cp043_ses-20220127_level-01B_run-007,sub-cp043,1,1000,42,51,50,0,0,1.0,0.05,2.3246794665729307,0.1,1.953005854041111,1.953005854041111,0.9178841710090636,0.8990007638931274,0.9032825827598572,0.8941861987113953
sub-cp043_ses-20220127_level-01B_run-012,sub-cp043,1,1000,42,51,50,0,0,1.0,0.05,2.1758335125220154,0.1,1.6441181808865273,1.6441181808865273,0.9084123969078064,0.8836559057235718,0.8940562009811401,0.8579226732254028
sub-cp043_ses-20220127_level-02B_run-003,sub-cp043,1,1000,42,51,50,1,1,2.0,0.05,1.978920893025317,0.1,1.5165144453580095,1.5165144453580095,0.9036101698875428,0.9213861227035522,0.8873823881149292,0.790576159954071
sub-cp043_ses-20220127_level-02B_run-008,sub-cp043,1,1000,42,51,50,1,1,2.0,0.05,1.981406648421492,0.1,1.815206907119672,1.815206907119672,0.9247823357582092,0.9372209906578064,0.9065264463424684,0.8204556107521057
sub-cp043_ses-20220127_level-02B_run-010,sub-cp043,1,1000,42,51,50,1,0,2.0,0.05,2.059497816948095,0.1,1.384335806771261,1.384335806771261,0.9278600215911864,0.9183945655822754,0.9097703099250792,0.8552016019821167
sub-cp043_ses-20220127_level-03B_run-002,sub-cp043,1,1000,42,51,50,2,2,3.0,0.05,2.52306514689705,0.1,2.9849159704647423,2.9849159704647423,0.8667844533920288,0.8959575891494751,0.9148222208023072,0.8569808006286621
sub-cp043_ses-20220127_level-03B_run-005,sub-cp043,1,1000,42,51,50,2,2,3.0,0.05,2.36068260489364,0.1,2.9628589572587547,2.9628589572587547,0.8962079286575317,0.9217213988304138,0.931759476661682,0.8507013916969299
sub-cp043_ses-20220127_level-03B_run-011,sub-cp043,1,1000,42,51,50,2,2,3.0,0.05,2.6253137221467533,0.1,3.1811442070217573,3.1811442070217573,0.8805543184280396,0.8758158683776855,0.9119240641593932,0.8846624493598938
sub-cp043_ses-20220127_level-04B_run-004,sub-cp043,1,1000,42,51,50,3,3,4.0,0.05,3.548499566287343,0.1,3.9003100578823577,3.9003100578823577,0.8100600838661194,0.8012580275535583,0.845371663570404,0.9298741221427916
sub-cp043_ses-20220127_level-04B_run-006,sub-cp043,1,1000,42,51,50,3,3,4.0,0.05,3.376353762575945,0.1,3.6623491935663863,3.6623491935663863,0.8184971213340759,0.822663426399231,0.866111159324646,0.9210306406021118
sub-cp043_ses-20220127_level-04B_run-009,sub-cp043,1,1000,42,51,50,3,3,4.0,0.05,3.105024774175029,0.1,3.735275530031074,3.735275530031074,0.8567025065422058,0.8575310111045837,0.8940296173095703,0.9241703748703004
sub-cp009_ses-20210129_level-01B_run-001,sub-cp009,2,1000,42,51,50,0,3,1.0,0.05,2.5856562635448395,0.1,1.8210250905246137,1.8210250905246137,0.8045218586921692,0.7853292226791382,0.8044800758361816,0.8097622990608215
sub-cp009_ses-20210129_level-01B_run-007,sub-cp009,2,1000,42,51,50,0,0,1.0,0.05,2.3013590552300998,0.1,1.4158563671119015,1.4158563671119015,0.8684060573577881,0.8630040287971497,0.863420307636261,0.8387953042984009
sub-cp009_ses-20210129_level-01B_run-012,sub-cp009,2,1000,42,51,50,0,2,1.0,0.05,2.426067641493136,0.1,1.992886420502032,1.992886420502032,0.8558308482170105,0.8585156798362732,0.8680976629257202,0.8397964835166931
sub-cp009_ses-20210129_level-02B_run-003,sub-cp009,2,1000,42,51,50,1,1,2.0,0.05,2.238190573973945,0.1,1.5095741857663398,1.5095741857663398,0.8595450520515442,0.864641010761261,0.857174813747406,0.8185091018676758
sub-cp009_ses-20210129_level-02B_run-008,sub-cp009,2,1000,42,51,50,1,2,2.0,0.05,2.380680650214805,0.1,1.3499129837459225,1.3499129837459225,0.8503126502037048,0.8471628427505493,0.853714108467102,0.8298377990722656
sub-cp009_ses-20210129_level-02B_run-010,sub-cp009,2,1000,42,51,50,1,1,2.0,0.05,2.1865501058631978,0.1,1.0683987186216606,1.0683987186216606,0.8452188968658447,0.8637433052062988,0.85252445936203,0.7823100686073303
sub-cp009_ses-20210129_level-03B_run-002,sub-cp009,2,1000,42,51,50,2,3,3.0,0.05,2.630764969681053,0.1,2.565138822263607,2.565138822263607,0.837365984916687,0.8278893232345581,0.8429805040359497,0.8493335843086243
sub-cp009_ses-20210129_level-03B_run-005,sub-cp009,2,1000,42,51,50,2,2,3.0,0.05,2.6636391140181948,0.1,2.2561829255259456,2.2561829255259456,0.8476065993309021,0.8482189178466797,0.8733968734741211,0.861716091632843
sub-cp009_ses-20210129_level-03B_run-011,sub-cp009,2,1000,42,51,50,2,2,3.0,0.05,2.4718832444047685,0.1,2.6464174146244805,2.6464174146244805,0.8809812664985657,0.8994389176368713,0.9123839735984802,0.8674067854881287
sub-cp009_ses-20210129_level-04B_run-004,sub-cp009,2,1000,42,51,50,3,3,4.0,0.05,3.197912988303252,0.1,3.642009744416283,3.642009744416283,0.7829795479774475,0.7793623208999634,0.8058319091796875,0.8583965301513672
sub-cp009_ses-20210129_level-04B_run-006,sub-cp009,2,1000,42,51,50,3,3,4.0,0.05,3.110851655126099,0.1,3.5985527410336453,3.5985527410336453,0.8056892156600952,0.797051727771759,0.8234599232673645,0.8697779178619385
sub-cp009_ses-20210129_level-04B_run-009,sub-cp009,2,1000,42,51,50,3,3,4.0,0.05,3.3045299059250177,0.1,3.6985397728524,3.6985397728524,0.8081299662590027,0.7897119522094727,0.8227028846740723,0.8905383348464966
sub-cp013_ses-20210319_level-01B_run-001,sub-cp013,2,1000,42,51,50,0,3,1.0,0.05,2.9049642782547656,0.1,3.087416002846112,3.087416002846112,0.8630470037460327,0.8545553684234619,0.8827786445617676,0.9048703908920288
sub-cp013_ses-20210319_level-01B_run-007,sub-cp013,2,1000,42,51,50,0,3,1.0,0.05,2.696170028590472,0.1,2.5778519401924003,2.5778519401924003,0.8168848156929016,0.7869661450386047,0.8087518811225891,0.833578884601593
sub-cp013_ses-20210319_level-01B_run-012,sub-cp013,2,1000,42,51,50,0,0,1.0,0.05,2.197600137486854,0.1,1.7927186726075153,1.7927186726075153,0.8967931866645813,0.8720863461494446,0.8664754629135132,0.8609784245491028
sub-cp013_ses-20210319_level-02B_run-003,sub-cp013,2,1000,42,51,50,1,3,2.0,0.05,2.8231553318535947,0.1,3.388852697303684,3.388852697303684,0.8386924862861633,0.8353875279426575,0.8582833409309387,0.8728867173194885
sub-cp013_ses-20210319_level-02B_run-008,sub-cp013,2,1000,42,51,50,1,3,2.0,0.05,3.0350868507528137,0.1,3.112985062801291,3.112985062801291,0.783510148525238,0.7867020964622498,0.8182958960533142,0.843590259552002
sub-cp013_ses-20210319_level-02B_run-010,sub-cp013,2,1000,42,51,50,1,3,2.0,0.05,2.8005279384712614,0.1,2.924364342951629,2.924364342951629,0.8306804299354553,0.8132097721099854,0.8368701934814453,0.8596084713935852
sub-cp013_ses-20210319_level-03B_run-002,sub-cp013,2,1000,42,51,50,2,3,3.0,0.05,2.85733884804144,0.1,3.2925973039387597,3.2925973039387597,0.8129584193229675,0.8126289248466492,0.8388438820838928,0.8514939546585083
sub-cp013_ses-20210319_level-03B_run-005,sub-cp013,2,1000,42,51,50,2,3,3.0,0.05,2.8802478987079305,0.1,3.137925175107621,3.137925175107621,0.7578821778297424,0.7629930377006531,0.7916646599769592,0.8003832697868347
sub-cp013_ses-20210319_level-03B_run-011,sub-cp013,2,1000,42,51,50,2,3,3.0,0.05,2.948623760799195,0.1,3.6333150232800175,3.6333150232800175,0.8347129821777344,0.8312687873840332,0.8592025637626648,0.8827927112579346
sub-cp013_ses-20210319_level-04B_run-004,sub-cp013,2,1000,42,51,50,3,3,4.0,0.05,3.161211294892034,0.1,3.656333884086959,3.656333884086959,0.6895409226417542,0.6814634799957275,0.7120141983032227,0.7595473527908325
sub-cp013_ses-20210319_level-04B_run-006,sub-cp013,2,1000,42,51,50,3,3,4.0,0.05,3.115205662911705,0.1,3.609376217180156,3.609376217180156,0.8439454436302185,0.8237705826759338,0.8471711874008179,0.9047123193740844
sub-cp013_ses-20210319_level-04B_run-009,sub-cp013,2,1000,42,51,50,3,3,4.0,0.05,3.180417688772807,0.1,3.593993794752213,3.593993794752213,0.7825019955635071,0.759560763835907,0.7858787775039673,0.8493335843086243
sub-cp015_ses-20210504_level-01B_run-001,sub-cp015,2,1000,42,51,50,0,0,1.0,0.05,1.7658335549642414,0.1,0.4753525804018514,1.0,0.9136662483215332,0.8849705457687378,0.8558770418167114,0.8032285571098328
sub-cp015_ses-20210504_level-01B_run-007,sub-cp015,2,1000,42,51,50,0,0,1.0,0.05,1.981907114255032,0.1,1.3451519499883091,1.3451519499883091,0.9202987551689148,0.9112142324447632,0.8879426717758179,0.8434321880340576
sub-cp015_ses-20210504_level-01B_run-012,sub-cp015,2,1000,42,51,50,0,0,1.0,0.05,2.0284638634194727,0.1,1.371311500127902,1.371311500127902,0.9118621945381165,0.8811686635017395,0.870152473449707,0.8541812300682068
sub-cp015_ses-20210504_level-02B_run-003,sub-cp015,2,1000,42,51,50,1,1,2.0,0.05,2.028741041279905,0.1,1.7762769457798566,1.7762769457798566,0.9061847925186156,0.9299068450927734,0.8980274200439453,0.8029124140739441
sub-cp015_ses-20210504_level-02B_run-008,sub-cp015,2,1000,42,51,50,1,1,2.0,0.05,2.082100974914574,0.1,1.4131462381379696,1.4131462381379696,0.9126580953598022,0.9188708066940308,0.8987303972244263,0.8434321880340576
sub-cp015_ses-20210504_level-02B_run-010,sub-cp015,2,1000,42,51,50,1,0,2.0,0.05,2.096145652415153,0.1,1.309564723181003,1.309564723181003,0.9156294465065002,0.9066730737686156,0.8949182033538818,0.856130838394165
sub-cp015_ses-20210504_level-03B_run-002,sub-cp015,2,1000,42,51,50,2,1,3.0,0.05,2.278589409211852,0.1,2.605212492154994,2.605212492154994,0.8698387145996094,0.8962706327438354,0.8955129981040955,0.8123968839645386
sub-cp015_ses-20210504_level-03B_run-005,sub-cp015,2,1000,42,51,50,2,2,3.0,0.05,2.3525191883272174,0.1,2.860250317971846,2.860250317971846,0.8801853656768799,0.8813799023628235,0.8920522928237915,0.8495444059371948
sub-cp015_ses-20210504_level-03B_run-011,sub-cp015,2,1000,42,51,50,2,0,3.0,0.05,2.144307909770079,0.1,2.063589322503816,2.063589322503816,0.921413004398346,0.9100525379180908,0.9081121683120728,0.8652464151382446
