run_key,subject_id,session_id,run_id,difficulty_level_raw,difficulty_level,target_class,target_score,outer_fold
sub-cp005_ses-20210226_level-04B_run-006,sub-cp005,ses-20210226,run-006,level-04B,4,3,4.0,5
sub-cp005_ses-20210226_level-04B_run-009,sub-cp005,ses-20210226,run-009,level-04B,4,3,4.0,5
sub-cp006_ses-20210324_level-01B_run-001,sub-cp006,ses-20210324,run-001,level-01B,1,0,1.0,4
sub-cp006_ses-20210324_level-01B_run-007,sub-cp006,ses-20210324,run-007,level-01B,1,0,1.0,4
sub-cp006_ses-20210324_level-01B_run-012,sub-cp006,ses-20210324,run-012,level-01B,1,0,1.0,4
sub-cp006_ses-20210324_level-02B_run-003,sub-cp006,ses-20210324,run-003,level-02B,2,1,2.0,4
sub-cp006_ses-20210324_level-02B_run-008,sub-cp006,ses-20210324,run-008,level-02B,2,1,2.0,4
sub-cp006_ses-20210324_level-02B_run-010,sub-cp006,ses-20210324,run-010,level-02B,2,1,2.0,4
sub-cp006_ses-20210324_level-03B_run-002,sub-cp006,ses-20210324,run-002,level-03B,3,2,3.0,4
sub-cp006_ses-20210324_level-03B_run-005,sub-cp006,ses-20210324,run-005,level-03B,3,2,3.0,4
sub-cp006_ses-20210324_level-03B_run-011,sub-cp006,ses-20210324,run-011,level-03B,3,2,3.0,4
sub-cp006_ses-20210324_level-04B_run-004,sub-cp006,ses-20210324,run-004,level-04B,4,3,4.0,4
sub-cp006_ses-20210324_level-04B_run-006,sub-cp006,ses-20210324,run-006,level-04B,4,3,4.0,4
sub-cp006_ses-20210324_level-04B_run-009,sub-cp006,ses-20210324,run-009,level-04B,4,3,4.0,4
sub-cp008_ses-20210503_level-01B_run-001,sub-cp008,ses-20210503,run-001,level-01B,1,0,1.0,3
sub-cp008_ses-20210503_level-01B_run-007,sub-cp008,ses-20210503,run-007,level-01B,1,0,1.0,3
sub-cp008_ses-20210503_level-01B_run-012,sub-cp008,ses-20210503,run-012,level-01B,1,0,1.0,3
sub-cp008_ses-20210503_level-02B_run-003,sub-cp008,ses-20210503,run-003,level-02B,2,1,2.0,3
sub-cp008_ses-20210503_level-02B_run-008,sub-cp008,ses-20210503,run-008,level-02B,2,1,2.0,3
sub-cp008_ses-20210503_level-02B_run-010,sub-cp008,ses-20210503,run-010,level-02B,2,1,2.0,3
sub-cp008_ses-20210503_level-03B_run-002,sub-cp008,ses-20210503,run-002,level-03B,3,2,3.0,3
sub-cp008_ses-20210503_level-03B_run-005,sub-cp008,ses-20210503,run-005,level-03B,3,2,3.0,3
sub-cp008_ses-20210503_level-03B_run-011,sub-cp008,ses-20210503,run-011,level-03B,3,2,3.0,3
sub-cp008_ses-20210503_level-04B_run-004,sub-cp008,ses-20210503,run-004,level-04B,4,3,4.0,3
sub-cp008_ses-20210503_level-04B_run-006,sub-cp008,ses-20210503,run-006,level-04B,4,3,4.0,3
sub-cp008_ses-20210503_level-04B_run-009,sub-cp008,ses-20210503,run-009,level-04B,4,3,4.0,3
sub-cp009_ses-20210129_level-01B_run-001,sub-cp009,ses-20210129,run-001,level-01B,1,0,1.0,2
sub-cp009_ses-20210129_level-01B_run-007,sub-cp009,ses-20210129,run-007,level-01B,1,0,1.0,2
sub-cp009_ses-20210129_level-01B_run-012,sub-cp009,ses-20210129,run-012,level-01B,1,0,1.0,2
sub-cp009_ses-20210129_level-02B_run-003,sub-cp009,ses-20210129,run-003,level-02B,2,1,2.0,2
sub-cp009_ses-20210129_level-02B_run-008,sub-cp009,ses-20210129,run-008,level-02B,2,1,2.0,2
sub-cp009_ses-20210129_level-02B_run-010,sub-cp009,ses-20210129,run-010,level-02B,2,1,2.0,2
sub-cp009_ses-20210129_level-03B_run-002,sub-cp009,ses-20210129,run-002,level-03B,3,2,3.0,2
sub-cp009_ses-20210129_level-03B_run-005,sub-cp009,ses-20210129,run-005,level-03B,3,2,3.0,2
sub-cp009_ses-20210129_level-03B_run-011,sub-cp009,ses-20210129,run-011,level-03B,3,2,3.0,2
sub-cp009_ses-20210129_level-04B_run-004,sub-cp009,ses-20210129,run-004,level-04B,4,3,4.0,2
sub-cp009_ses-20210129_level-04B_run-006,sub-cp009,ses-20210129,run-006,level-04B,4,3,4.0,2
sub-cp009_ses-20210129_level-04B_run-009,sub-cp009,ses-20210129,run-009,level-04B,4,3,4.0,2
sub-cp011_ses-20210408_level-01B_run-001,sub-cp011,ses-20210408,run-001,level-01B,1,0,1.0,1
sub-cp011_ses-20210408_level-01B_run-007,sub-cp011,ses-20210408,run-007,level-01B,1,0,1.0,1
sub-cp011_ses-20210408_level-01B_run-012,sub-cp011,ses-20210408,run-012,level-01B,1,0,1.0,1
sub-cp011_ses-20210408_level-02B_run-003,sub-cp011,ses-20210408,run-003,level-02B,2,1,2.0,1
sub-cp011_ses-20210408_level-02B_run-008,sub-cp011,ses-20210408,run-008,level-02B,2,1,2.0,1
sub-cp011_ses-20210408_level-02B_run-010,sub-cp011,ses-20210408,run-010,level-02B,2,1,2.0,1
sub-cp011_ses-20210408_level-03B_run-002,sub-cp011,ses-20210408,run-002,level-03B,3,2,3.0,1
sub-cp011_ses-20210408_level-03B_run-005,sub-cp011,ses-20210408,run-005,level-03B,3,2,3.0,1
sub-cp011_ses-20210408_level-03B_run-011,sub-cp011,ses-20210408,run-011,level-03B,3,2,3.0,1
sub-cp011_ses-20210408_level-04B_run-004,sub-cp011,ses-20210408,run-004,level-04B,4,3,4.0,1
sub-cp011_ses-20210408_level-04B_run-006,sub-cp011,ses-20210408,run-006,level-04B,4,3,4.0,1
sub-cp011_ses-20210408_level-04B_run-009,sub-cp011,ses-20210408,run-009,level-04B,4,3,4.0,1
sub-cp012_ses-20210723_level-01B_run-001,sub-cp012,ses-20210723,run-001,level-01B,1,0,1.0,4
sub-cp012_ses-20210723_level-01B_run-007,sub-cp012,ses-20210723,run-007,level-01B,1,0,1.0,4
sub-cp012_ses-20210723_level-01B_run-012,sub-cp012,ses-20210723,run-012,level-01B,1,0,1.0,4
sub-cp012_ses-20210723_level-02B_run-003,sub-cp012,ses-20210723,run-003,level-02B,2,1,2.0,4
sub-cp012_ses-20210723_level-02B_run-008,sub-cp012,ses-20210723,run-008,level-02B,2,1,2.0,4
sub-cp012_ses-20210723_level-02B_run-010,sub-cp012,ses-20210723,run-010,level-02B,2,1,2.0,4
sub-cp012_ses-20210723_level-03B_run-002,sub-cp012,ses-20210723,run-002,level-03B,3,2,3.0,4
sub-cp012_ses-20210723_level-03B_run-005,sub-cp012,ses-20210723,run-005,level-03B,3,2,3.0,4
sub-cp012_ses-20210723_level-03B_run-011,sub-cp012,ses-20210723,run-011,level-03B,3,2,3.0,4
sub-cp012_ses-20210723_level-04B_run-004,sub-cp012,ses-20210723,run-004,level-04B,4,3,4.0,4
sub-cp012_ses-20210723_level-04B_run-006,sub-cp012,ses-20210723,run-006,level-04B,4,3,4.0,4
sub-cp012_ses-20210723_level-04B_run-009,sub-cp012,ses-20210723,run-009,level-04B,4,3,4.0,4
sub-cp013_ses-20210319_level-01B_run-001,sub-cp013,ses-20210319,run-001,level-01B,1,0,1.0,2
sub-cp013_ses-20210319_level-01B_run-007,sub-cp013,ses-20210319,run-007,level-01B,1,0,1.0,2
sub-cp013_ses-20210319_level-01B_run-012,sub-cp013,ses-20210319,run-012,level-01B,1,0,1.0,2
sub-cp013_ses-20210319_level-02B_run-003,sub-cp013,ses-20210319,run-003,level-02B,2,1,2.0,2
sub-cp013_ses-20210319_level-02B_run-008,sub-cp013,ses-20210319,run-008,level-02B,2,1,2.0,2
sub-cp013_ses-20210319_level-02B_run-010,sub-cp013,ses-20210319,run-010,level-02B,2,1,2.0,2
sub-cp013_ses-20210319_level-03B_run-002,sub-cp013,ses-20210319,run-002,level-03B,3,2,3.0,2
sub-cp013_ses-20210319_level-03B_run-005,sub-cp013,ses-20210319,run-005,level-03B,3,2,3.0,2
sub-cp013_ses-20210319_level-03B_run-011,sub-cp013,ses-20210319,run-011,level-03B,3,2,3.0,2
sub-cp013_ses-20210319_level-04B_run-004,sub-cp013,ses-20210319,run-004,level-04B,4,3,4.0,2
sub-cp013_ses-20210319_level-04B_run-006,sub-cp013,ses-20210319,run-006,level-04B,4,3,4.0,2
sub-cp013_ses-20210319_level-04B_run-009,sub-cp013,ses-20210319,run-009,level-04B,4,3,4.0,2
sub-cp014_ses-20211112_level-01B_run-001,sub-cp014,ses-20211112,run-001,level-01B,1,0,1.0,3
sub-cp014_ses-20211112_level-01B_run-007,sub-cp014,ses-20211112,run-007,level-01B,1,0,1.0,3
sub-cp014_ses-20211112_level-01B_run-012,sub-cp014,ses-20211112,run-012,level-01B,1,0,1.0,3
sub-cp014_ses-20211112_level-02B_run-003,sub-cp014,ses-20211112,run-003,level-02B,2,1,2.0,3
sub-cp014_ses-20211112_level-02B_run-008,sub-cp014,ses-20211112,run-008,level-02B,2,1,2.0,3
sub-cp014_ses-20211112_level-02B_run-010,sub-cp014,ses-20211112,run-010,level-02B,2,1,2.0,3
sub-cp014_ses-20211112_level-03B_run-002,sub-cp014,ses-20211112,run-002,level-03B,3,2,3.0,3
sub-cp014_ses-20211112_level-03B_run-005,sub-cp014,ses-20211112,run-005,level-03B,3,2,3.0,3
sub-cp014_ses-20211112_level-03B_run-011,sub-cp014,ses-20211112,run-011,level-03B,3,2,3.0,3
sub-cp014_ses-20211112_level-04B_run-004,sub-cp014,ses-20211112,run-004,level-04B,4,3,4.0,3
sub-cp014_ses-20211112_level-04B_run-006,sub-cp014,ses-20211112,run-006,level-04B,4,3,4.0,3
sub-cp014_ses-20211112_level-04B_run-009,sub-cp014,ses-20211112,run-009,level-04B,4,3,4.0,3
sub-cp015_ses-20210504_level-01B_run-001,sub-cp015,ses-20210504,run-001,level-01B,1,0,1.0,2
sub-cp015_ses-20210504_level-01B_run-007,sub-cp015,ses-20210504,run-007,level-01B,1,0,1.0,2
sub-cp015_ses-20210504_level-01B_run-012,sub-cp015,ses-20210504,run-012,level-01B,1,0,1.0,2
sub-cp015_ses-20210504_level-02B_run-003,sub-cp015,ses-20210504,run-003,level-02B,2,1,2.0,2
sub-cp015_ses-20210504_level-02B_run-008,sub-cp015,ses-20210504,run-008,level-02B,2,1,2.0,2
sub-cp015_ses-20210504_level-02B_run-010,sub-cp015,ses-20210504,run-010,level-02B,2,1,2.0,2
sub-cp015_ses-20210504_level-03B_run-002,sub-cp015,ses-20210504,run-002,level-03B,3,2,3.0,2
sub-cp015_ses-20210504_level-03B_run-005,sub-cp015,ses-20210504,run-005,level-03B,3,2,3.0,2
sub-cp015_ses-20210504_level-03B_run-011,sub-cp015,ses-20210504,run-011,level-03B,3,2,3.0,2
sub-cp015_ses-20210504_level-04B_run-004,sub-cp015,ses-20210504,run-004,level-04B,4,3,4.0,2
sub-cp015_ses-20210504_level-04B_run-006,sub-cp015,ses-20210504,run-006,level-04B,4,3,4.0,2
sub-cp015_ses-20210504_level-04B_run-009,sub-cp015,ses-20210504,run-009,level-04B,4,3,4.0,2
sub-cp016_ses-20210528_level-01B_run-001,sub-cp016,ses-20210528,run-001,level-01B,1,0,1.0,1
sub-cp016_ses-20210528_level-01B_run-007,sub-cp016,ses-20210528,run-007,level-01B,1,0,1.0,1
sub-cp016_ses-20210528_level-01B_run-012,sub-cp016,ses-20210528,run-012,level-01B,1,0,1.0,1
sub-cp016_ses-20210528_level-02B_run-003,sub-cp016,ses-20210528,run-003,level-02B,2,1,2.0,1
sub-cp016_ses-20210528_level-02B_run-008,sub-cp016,ses-20210528,run-008,level-02B,2,1,2.0,1
sub-cp016_ses-20210528_level-02B_run-010,sub-cp016,ses-20210528,run-010,level-02B,2,1,2.0,1
sub-cp016_ses-20210528_level-03B_run-002,sub-cp016,ses-20210528,run-002,level-03B,3,2,3.0,1
sub-cp016_ses-20210528_level-03B_run-005,sub-cp016,ses-20210528,run-005,level-03B,3,2,3.0,1
sub-cp016_ses-20210528_level-03B_run-011,sub-cp016,ses-20210528,run-011,level-03B,3,2,3.0,1
sub-cp016_ses-20210528_level-04B_run-004,sub-cp016,ses-20210528,run-004,level-04B,4,3,4.0,1
sub-cp016_ses-20210528_level-04B_run-006,sub-cp016,ses-20210528,run-006,level-04B,4,3,4.0,1
sub-cp016_ses-20210528_level-04B_run-009,sub-cp016,ses-20210528,run-009,level-04B,4,3,4.0,1
sub-cp017_ses-20210521_level-01B_run-001,sub-cp017,ses-20210521,run-001,level-01B,1,0,1.0,5
sub-cp017_ses-20210521_level-01B_run-007,sub-cp017,ses-20210521,run-007,level-01B,1,0,1.0,5
sub-cp017_ses-20210521_level-01B_run-012,sub-cp017,ses-20210521,run-012,level-01B,1,0,1.0,5
sub-cp017_ses-20210521_level-02B_run-003,sub-cp017,ses-20210521,run-003,level-02B,2,1,2.0,5
sub-cp017_ses-20210521_level-02B_run-008,sub-cp017,ses-20210521,run-008,level-02B,2,1,2.0,5
sub-cp017_ses-20210521_level-02B_run-010,sub-cp017,ses-20210521,run-010,level-02B,2,1,2.0,5
sub-cp017_ses-20210521_level-03B_run-002,sub-cp017,ses-20210521,run-002,level-03B,3,2,3.0,5
sub-cp017_ses-20210521_level-03B_run-005,sub-cp017,ses-20210521,run-005,level-03B,3,2,3.0,5
sub-cp017_ses-20210521_level-03B_run-011,sub-cp017,ses-20210521,run-011,level-03B,3,2,3.0,5
sub-cp017_ses-20210521_level-04B_run-004,sub-cp017,ses-20210521,run-004,level-04B,4,3,4.0,5
sub-cp017_ses-20210521_level-04B_run-006,sub-cp017,ses-20210521,run-006,level-04B,4,3,4.0,5
sub-cp017_ses-20210521_level-04B_run-009,sub-cp017,ses-20210521,run-009,level-04B,4,3,4.0,5
sub-cp018_ses-20210709_level-01B_run-001,sub-cp018,ses-20210709,run-001,level-01B,1,0,1.0,4
sub-cp018_ses-20210709_level-01B_run-007,sub-cp018,ses-20210709,run-007,level-01B,1,0,1.0,4
sub-cp018_ses-20210709_level-01B_run-012,sub-cp018,ses-20210709,run-012,level-01B,1,0,1.0,4
sub-cp018_ses-20210709_level-02B_run-003,sub-cp018,ses-20210709,run-003,level-02B,2,1,2.0,4
sub-cp018_ses-20210709_level-02B_run-008,sub-cp018,ses-20210709,run-008,level-02B,2,1,2.0,4
sub-cp018_ses-20210709_level-02B_run-010,sub-cp018,ses-20210709,run-010,level-02B,2,1,2.0,4
sub-cp018_ses-20210709_level-03B_run-002,sub-cp018,ses-20210709,run-002,level-03B,3,2,3.0,4
sub-cp018_ses-20210709_level-03B_run-005,sub-cp018,ses-20210709,run-005,level-03B,3,2,3.0,4
sub-cp018_ses-20210709_level-03B_run-011,sub-cp018,ses-20210709,run-011,level-03B,3,2,3.0,4
sub-cp018_ses-20210709_level-04B_run-004,sub-cp018,ses-20210709,run-004,level-04B,4,3,4.0,4
sub-cp018_ses-20210709_level-04B_run-006,sub-cp018,ses-20210709,run-006,level-04B,4,3,4.0,4
sub-cp018_ses-20210709_level-04B_run-009,sub-cp018,ses-20210709,run-009,level-04B,4,3,4.0,4
sub-cp019_ses-20210625_level-01B_run-001,sub-cp019,ses-20210625,run-001,level-01B,1,0,1.0,3
sub-cp019_ses-20210625_level-01B_run-007,sub-cp019,ses-20210625,run-007,level-01B,1,0,1.0,3
sub-cp019_ses-20210625_level-01B_run-012,sub-cp019,ses-20210625,run-012,level-01B,1,0,1.0,3
sub-cp019_ses-20210625_level-02B_run-003,sub-cp019,ses-20210625,run-003,level-02B,2,1,2.0,3
sub-cp019_ses-20210625_level-02B_run-008,sub-cp019,ses-20210625,run-008,level-02B,2,1,2.0,3
sub-cp019_ses-20210625_level-02B_run-010,sub-cp019,ses-20210625,run-010,level-02B,2,1,2.0,3
sub-cp019_ses-20210625_level-03B_run-002,sub-cp019,ses-20210625,run-002,level-03B,3,2,3.0,3
sub-cp019_ses-20210625_level-03B_run-005,sub-cp019,ses-20210625,run-005,level-03B,3,2,3.0,3
sub-cp019_ses-20210625_level-03B_run-011,sub-cp019,ses-20210625,run-011,level-03B,3,2,3.0,3
sub-cp019_ses-20210625_level-04B_run-004,sub-cp019,ses-20210625,run-004,level-04B,4,3,4.0,3
sub-cp019_ses-20210625_level-04B_run-006,sub-cp019,ses-20210625,run-006,level-04B,4,3,4.0,3
sub-cp019_ses-20210625_level-04B_run-009,sub-cp019,ses-20210625,run-009,level-04B,4,3,4.0,3
sub-cp020_ses-20210604_level-01B_run-001,sub-cp020,ses-20210604,run-001,level-01B,1,0,1.0,2
sub-cp020_ses-20210604_level-01B_run-007,sub-cp020,ses-20210604,run-007,level-01B,1,0,1.0,2
sub-cp020_ses-20210604_level-01B_run-012,sub-cp020,ses-20210604,run-012,level-01B,1,0,1.0,2
sub-cp020_ses-20210604_level-02B_run-003,sub-cp020,ses-20210604,run-003,level-02B,2,1,2.0,2
sub-cp020_ses-20210604_level-02B_run-008,sub-cp020,ses-20210604,run-008,level-02B,2,1,2.0,2
sub-cp020_ses-20210604_level-02B_run-010,sub-cp020,ses-20210604,run-010,level-02B,2,1,2.0,2
sub-cp020_ses-20210604_level-03B_run-002,sub-cp020,ses-20210604,run-002,level-03B,3,2,3.0,2
sub-cp020_ses-20210604_level-03B_run-005,sub-cp020,ses-20210604,run-005,level-03B,3,2,3.0,2
sub-cp020_ses-20210604_level-03B_run-011,sub-cp020,ses-20210604,run-011,level-03B,3,2,3.0,2
sub-cp020_ses-20210604_level-04B_run-004,sub-cp020,ses-20210604,run-004,level-04B,4,3,4.0,2
sub-cp020_ses-20210604_level-04B_run-006,sub-cp020,ses-20210604,run-006,level-04B,4,3,4.0,2
sub-cp020_ses-20210604_level-04B_run-009,sub-cp020,ses-20210604,run-009,level-04B,4,3,4.0,2
sub-cp022_ses-20210621_level-01B_run-001,sub-cp022,ses-20210621,run-001,level-01B,1,0,1.0,5
sub-cp022_ses-20210621_level-01B_run-007,sub-cp022,ses-20210621,run-007,level-01B,1,0,1.0,5
sub-cp022_ses-20210621_level-01B_run-012,sub-cp022,ses-20210621,run-012,level-01B,1,0,1.0,5
sub-cp022_ses-20210621_level-02B_run-003,sub-cp022,ses-20210621,run-003,level-02B,2,1,2.0,5
sub-cp022_ses-20210621_level-02B_run-008,sub-cp022,ses-20210621,run-008,level-02B,2,1,2.0,5
sub-cp022_ses-20210621_level-02B_run-010,sub-cp022,ses-20210621,run-010,level-02B,2,1,2.0,5
sub-cp022_ses-20210621_level-03B_run-002,sub-cp022,ses-20210621,run-002,level-03B,3,2,3.0,5
sub-cp022_ses-20210621_level-03B_run-005,sub-cp022,ses-20210621,run-005,level-03B,3,2,3.0,5
sub-cp022_ses-20210621_level-03B_run-011,sub-cp022,ses-20210621,run-011,level-03B,3,2,3.0,5
sub-cp022_ses-20210621_level-04B_run-004,sub-cp022,ses-20210621,run-004,level-04B,4,3,4.0,5
sub-cp022_ses-20210621_level-04B_run-006,sub-cp022,ses-20210621,run-006,level-04B,4,3,4.0,5
sub-cp022_ses-20210621_level-04B_run-009,sub-cp022,ses-20210621,run-009,level-04B,4,3,4.0,5
sub-cp023_ses-20210628_level-01B_run-001,sub-cp023,ses-20210628,run-001,level-01B,1,0,1.0,3
sub-cp023_ses-20210628_level-01B_run-007,sub-cp023,ses-20210628,run-007,level-01B,1,0,1.0,3
sub-cp023_ses-20210628_level-01B_run-012,sub-cp023,ses-20210628,run-012,level-01B,1,0,1.0,3
sub-cp023_ses-20210628_level-02B_run-003,sub-cp023,ses-20210628,run-003,level-02B,2,1,2.0,3
sub-cp023_ses-20210628_level-02B_run-008,sub-cp023,ses-20210628,run-008,level-02B,2,1,2.0,3
sub-cp023_ses-20210628_level-02B_run-010,sub-cp023,ses-20210628,run-010,level-02B,2,1,2.0,3
sub-cp023_ses-20210628_level-03B_run-002,sub-cp023,ses-20210628,run-002,level-03B,3,2,3.0,3
sub-cp023_ses-20210628_level-03B_run-005,sub-cp023,ses-20210628,run-005,level-03B,3,2,3.0,3
sub-cp023_ses-20210628_level-03B_run-011,sub-cp023,ses-20210628,run-011,level-03B,3,2,3.0,3
sub-cp023_ses-20210628_level-04B_run-004,sub-cp023,ses-20210628,run-004,level-04B,4,3,4.0,3
sub-cp023_ses-20210628_level-04B_run-006,sub-cp023,ses-20210628,run-006,level-04B,4,3,4.0,3
sub-cp023_ses-20210628_level-04B_run-009,sub-cp023,ses-20210628,run-009,level-04B,4,3,4.0,3
sub-cp024_ses-20210629_level-01B_run-001,sub-cp024,ses-20210629,run-001,level-01B,1,0,1.0,3
sub-cp024_ses-20210629_level-01B_run-007,sub-cp024,ses-20210629,run-007,level-01B,1,0,1.0,3
sub-cp024_ses-20210629_level-01B_run-012,sub-cp024,ses-20210629,run-012,level-01B,1,0,1.0,3
sub-cp024_ses-20210629_level-02B_run-003,sub-cp024,ses-20210629,run-003,level-02B,2,1,2.0,3
sub-cp024_ses-20210629_level-02B_run-008,sub-cp024,ses-20210629,run-008,level-02B,2,1,2.0,3
sub-cp024_ses-20210629_level-02B_run-010,sub-cp024,ses-20210629,run-010,level-02B,2,1,2.0,3
sub-cp024_ses-20210629_level-03B_run-002,sub-cp024,ses-20210629,run-002,level-03B,3,2,3.0,3
sub-cp024_ses-20210629_level-03B_run-005,sub-cp024,ses-20210629,run-005,level-03B,3,2,3.0,3
sub-cp024_ses-20210629_level-03B_run-011,sub-cp024,ses-20210629,run-011,level-03B,3,2,3.0,3
sub-cp024_ses-20210629_level-04B_run-004,sub-cp024,ses-20210629,run-004,level-04B,4,3,4.0,3
sub-cp024_ses-20210629_level-04B_run-006,sub-cp024,ses-20210629,run-006,level-04B,4,3,4.0,3
sub-cp024_ses-20210629_level-04B_run-009,sub-cp024,ses-20210629,run-009,level-04B,4,3,4.0,3
sub-cp025_ses-20210820_level-01B_run-001,sub-cp025,ses-20210820,run-001,level-01B,1,0,1.0,3
sub-cp025_ses-20210820_level-01B_run-007,sub-cp025,ses-20210820,run-007,level-01B,1,0,1.0,3
sub-cp025_ses-20210820_level-01B_run-012,sub-cp025,ses-20210820,run-012,level-01B,1,0,1.0,3
sub-cp025_ses-20210820_level-02B_run-003,sub-cp025,ses-20210820,run-003,level-02B,2,1,2.0,3
sub-cp025_ses-20210820_level-02B_run-008,sub-cp025,ses-20210820,run-008,level-02B,2,1,2.0,3
sub-cp025_ses-20210820_level-02B_run-010,sub-cp025,ses-20210820,run-010,level-02B,2,1,2.0,3
sub-cp025_ses-20210820_level-03B_run-002,sub-cp025,ses-20210820,run-002,level-03B,3,2,3.0,3
sub-cp025_ses-20210820_level-03B_run-005,sub-cp025,ses-20210820,run-005,level-03B,3,2,3.0,3
sub-cp025_ses-20210820_level-03B_run-011,sub-cp025,ses-20210820,run-011,level-03B,3,2,3.0,3
sub-cp025_ses-20210820_level-04B_run-004,sub-cp025,ses-20210820,run-004,level-04B,4,3,4.0,3
sub-cp025_ses-20210820_level-04B_run-006,sub-cp025,ses-20210820,run-006,level-04B,4,3,4.0,3
sub-cp025_ses-20210820_level-04B_run-009,sub-cp025,ses-20210820,run-009,level-04B,4,3,4.0,3
sub-cp026_ses-20210716_level-01B_run-001,sub-cp026,ses-20210716,run-001,level-01B,1,0,1.0,2
sub-cp026_ses-20210716_level-01B_run-007,sub-cp026,ses-20210716,run-007,level-01B,1,0,1.0,2
sub-cp026_ses-20210716_level-01B_run-012,sub-cp026,ses-20210716,run-012,level-01B,1,0,1.0,2
sub-cp026_ses-20210716_level-02B_run-003,sub-cp026,ses-20210716,run-003,level-02B,2,1,2.0,2
sub-cp026_ses-20210716_level-02B_run-008,sub-cp026,ses-20210716,run-008,level-02B,2,1,2.0,2
sub-cp026_ses-20210716_level-02B_run-010,sub-cp026,ses-20210716,run-010,level-02B,2,1,2.0,2
sub-cp026_ses-20210716_level-03B_run-002,sub-cp026,ses-20210716,run-002,level-03B,3,2,3.0,2
sub-cp026_ses-20210716_level-03B_run-005,sub-cp026,ses-20210716,run-005,level-03B,3,2,3.0,2
