run_key,subject_id,outer_fold,modality,seed,modality_available,task,target_class,predicted_class,classification_confidence,similarity_margin,class_score_0,class_score_1,class_score_2,class_score_3
sub-cp033_ses-20211215_level-03B_run-005,sub-cp033,1,body_movement,42,True,classification,2,2,0.8985565,0.007448435,0.8675595,0.89110804,0.8985565,0.8732209
sub-cp033_ses-20211215_level-03B_run-011,sub-cp033,1,body_movement,42,True,classification,2,1,0.8930934,0.0021922588,0.88218063,0.8930934,0.89090115,0.8588766
sub-cp033_ses-20211215_level-04B_run-004,sub-cp033,1,body_movement,42,True,classification,3,1,0.8991502,0.0052590966,0.8717169,0.8991502,0.8938911,0.8652712
sub-cp033_ses-20211215_level-04B_run-006,sub-cp033,1,body_movement,42,True,classification,3,1,0.89147943,0.001339376,0.8810592,0.89147943,0.89014006,0.8571115
sub-cp033_ses-20211215_level-04B_run-009,sub-cp033,1,body_movement,42,True,classification,3,1,0.8902432,0.0025019646,0.8783745,0.8902432,0.8877412,0.8553977
sub-cp039_ses-20211219_level-01B_run-001,sub-cp039,1,body_movement,42,True,classification,0,0,0.8619277,0.022215366,0.8619277,0.8397123,0.83640116,0.8018134
sub-cp039_ses-20211219_level-01B_run-007,sub-cp039,1,body_movement,42,True,classification,0,1,0.88387823,0.0024507642,0.88142747,0.88387823,0.85534716,0.85557246
sub-cp039_ses-20211219_level-01B_run-012,sub-cp039,1,body_movement,42,True,classification,0,1,0.88330406,0.0050590634,0.878245,0.88330406,0.8674026,0.8577258
sub-cp039_ses-20211219_level-02B_run-003,sub-cp039,1,body_movement,42,True,classification,1,0,0.8788386,0.0153800845,0.8788386,0.8634585,0.851271,0.8380819
sub-cp039_ses-20211219_level-02B_run-008,sub-cp039,1,body_movement,42,True,classification,1,0,0.8497431,0.0048442483,0.8497431,0.8448989,0.84088695,0.84422994
sub-cp039_ses-20211219_level-02B_run-010,sub-cp039,1,body_movement,42,True,classification,1,0,0.86544585,0.012574375,0.86544585,0.8528715,0.85233396,0.8436979
sub-cp039_ses-20211219_level-03B_run-002,sub-cp039,1,body_movement,42,True,classification,2,1,0.86338806,0.008371115,0.85501695,0.86338806,0.8434138,0.8339407
sub-cp039_ses-20211219_level-03B_run-005,sub-cp039,1,body_movement,42,True,classification,2,0,0.8891105,0.013724089,0.8891105,0.8753864,0.862875,0.84354126
sub-cp039_ses-20211219_level-03B_run-011,sub-cp039,1,body_movement,42,True,classification,2,0,0.84335464,0.012859583,0.84335464,0.83049506,0.82320815,0.80374503
sub-cp039_ses-20211219_level-04B_run-004,sub-cp039,1,body_movement,42,True,classification,3,0,0.8438104,0.01991415,0.8438104,0.8238962,0.8154647,0.8198115
sub-cp039_ses-20211219_level-04B_run-006,sub-cp039,1,body_movement,42,True,classification,3,0,0.87602454,0.000946939,0.87602454,0.8750776,0.86753696,0.84219646
sub-cp039_ses-20211219_level-04B_run-009,sub-cp039,1,body_movement,42,True,classification,3,0,0.8632129,0.013674319,0.8632129,0.8406883,0.84953856,0.8322553
sub-cp043_ses-20220127_level-01B_run-001,sub-cp043,1,body_movement,42,True,classification,0,1,0.8711573,0.003686905,0.86471325,0.8711573,0.8674704,0.8501556
sub-cp043_ses-20220127_level-01B_run-007,sub-cp043,1,body_movement,42,True,classification,0,1,0.88830304,0.0037071109,0.8745555,0.88830304,0.88459593,0.8520206
sub-cp043_ses-20220127_level-01B_run-012,sub-cp043,1,body_movement,42,True,classification,0,2,0.88024336,0.0024194121,0.87782395,0.8713814,0.88024336,0.85907733
sub-cp043_ses-20220127_level-02B_run-003,sub-cp043,1,body_movement,42,True,classification,1,2,0.8745696,0.0020213723,0.8725482,0.86675817,0.8745696,0.8464876
sub-cp043_ses-20220127_level-02B_run-008,sub-cp043,1,body_movement,42,True,classification,1,2,0.88215667,0.004464805,0.8686348,0.87769186,0.88215667,0.84697783
sub-cp043_ses-20220127_level-02B_run-010,sub-cp043,1,body_movement,42,True,classification,1,2,0.875983,0.0022152066,0.8737678,0.8641575,0.875983,0.86940205
sub-cp043_ses-20220127_level-03B_run-002,sub-cp043,1,body_movement,42,True,classification,2,2,0.89146566,0.00043183565,0.85486597,0.8910338,0.89146566,0.8444323
sub-cp043_ses-20220127_level-03B_run-005,sub-cp043,1,body_movement,42,True,classification,2,2,0.8873791,0.0024734735,0.8683501,0.88490564,0.8873791,0.8419013
sub-cp043_ses-20220127_level-03B_run-011,sub-cp043,1,body_movement,42,True,classification,2,2,0.88868445,0.01173228,0.87193197,0.8769522,0.88868445,0.8545651
sub-cp043_ses-20220127_level-04B_run-004,sub-cp043,1,body_movement,42,True,classification,3,2,0.8881652,0.013086796,0.8606575,0.8750784,0.8881652,0.85159427
sub-cp043_ses-20220127_level-04B_run-006,sub-cp043,1,body_movement,42,True,classification,3,2,0.8832633,0.009371817,0.8630285,0.8738915,0.8832633,0.852729
sub-cp043_ses-20220127_level-04B_run-009,sub-cp043,1,body_movement,42,True,classification,3,1,0.8916599,0.01691097,0.8734419,0.8916599,0.87474895,0.853869
sub-cp009_ses-20210129_level-01B_run-001,sub-cp009,2,body_movement,42,False,classification,0,0,1.0000123,0.0,1.0000123,1.0000123,1.0000123,0.99889874
sub-cp009_ses-20210129_level-01B_run-007,sub-cp009,2,body_movement,42,False,classification,0,0,1.0000123,0.0,1.0000123,1.0000123,1.0000123,0.99889874
sub-cp009_ses-20210129_level-01B_run-012,sub-cp009,2,body_movement,42,False,classification,0,0,1.0000123,0.0,1.0000123,1.0000123,1.0000123,0.99889874
sub-cp009_ses-20210129_level-02B_run-003,sub-cp009,2,body_movement,42,False,classification,1,0,1.0000123,0.0,1.0000123,1.0000123,1.0000123,0.99889874
sub-cp009_ses-20210129_level-02B_run-008,sub-cp009,2,body_movement,42,False,classification,1,0,1.0000123,0.0,1.0000123,1.0000123,1.0000123,0.99889874
sub-cp009_ses-20210129_level-02B_run-010,sub-cp009,2,body_movement,42,False,classification,1,0,1.0000123,0.0,1.0000123,1.0000123,1.0000123,0.99889874
sub-cp009_ses-20210129_level-03B_run-002,sub-cp009,2,body_movement,42,False,classification,2,0,1.0000123,0.0,1.0000123,1.0000123,1.0000123,0.99889874
sub-cp009_ses-20210129_level-03B_run-005,sub-cp009,2,body_movement,42,False,classification,2,0,1.0000123,0.0,1.0000123,1.0000123,1.0000123,0.99889874
sub-cp009_ses-20210129_level-03B_run-011,sub-cp009,2,body_movement,42,False,classification,2,0,1.0000123,0.0,1.0000123,1.0000123,1.0000123,0.99889874
sub-cp009_ses-20210129_level-04B_run-004,sub-cp009,2,body_movement,42,False,classification,3,0,1.0000123,0.0,1.0000123,1.0000123,1.0000123,0.99889874
sub-cp009_ses-20210129_level-04B_run-006,sub-cp009,2,body_movement,42,False,classification,3,0,1.0000123,0.0,1.0000123,1.0000123,1.0000123,0.99889874
sub-cp009_ses-20210129_level-04B_run-009,sub-cp009,2,body_movement,42,False,classification,3,0,1.0000123,0.0,1.0000123,1.0000123,1.0000123,0.99889874
sub-cp013_ses-20210319_level-01B_run-001,sub-cp013,2,body_movement,42,True,classification,0,3,0.8941585,0.0051247478,0.8826699,0.8846415,0.88903373,0.8941585
sub-cp013_ses-20210319_level-01B_run-007,sub-cp013,2,body_movement,42,True,classification,0,3,0.8740021,0.002020359,0.8715472,0.8647815,0.87198174,0.8740021
sub-cp013_ses-20210319_level-01B_run-012,sub-cp013,2,body_movement,42,True,classification,0,3,0.86740506,0.009893894,0.8528031,0.85751116,0.8532141,0.86740506
sub-cp013_ses-20210319_level-02B_run-003,sub-cp013,2,body_movement,42,True,classification,1,3,0.8798559,0.0030555725,0.8768003,0.8681727,0.8735473,0.8798559
sub-cp013_ses-20210319_level-02B_run-008,sub-cp013,2,body_movement,42,True,classification,1,3,0.8495445,0.012465835,0.83460903,0.8370787,0.8345288,0.8495445
sub-cp013_ses-20210319_level-02B_run-010,sub-cp013,2,body_movement,42,True,classification,1,3,0.8434248,0.005256653,0.83816814,0.83213496,0.83280075,0.8434248
sub-cp013_ses-20210319_level-03B_run-002,sub-cp013,2,body_movement,42,True,classification,2,0,0.8611467,0.0023425221,0.8611467,0.8477963,0.85488653,0.85880417
sub-cp013_ses-20210319_level-03B_run-005,sub-cp013,2,body_movement,42,True,classification,2,3,0.8216645,0.00991565,0.8113936,0.8097991,0.81174886,0.8216645
sub-cp013_ses-20210319_level-03B_run-011,sub-cp013,2,body_movement,42,True,classification,2,3,0.86097825,0.008585691,0.8504742,0.85039663,0.85239255,0.86097825
sub-cp013_ses-20210319_level-04B_run-004,sub-cp013,2,body_movement,42,True,classification,3,3,0.8681023,0.0061188936,0.8615187,0.8619834,0.85874254,0.8681023
sub-cp013_ses-20210319_level-04B_run-006,sub-cp013,2,body_movement,42,True,classification,3,0,0.85731184,0.0021892786,0.85731184,0.84843606,0.8471489,0.85512257
sub-cp013_ses-20210319_level-04B_run-009,sub-cp013,2,body_movement,42,True,classification,3,0,0.80970085,0.004320264,0.80970085,0.80225813,0.79896736,0.8053806
sub-cp015_ses-20210504_level-01B_run-001,sub-cp015,2,body_movement,42,True,classification,0,0,0.91336536,0.0029281378,0.91336536,0.9071981,0.9104372,0.90190744
sub-cp015_ses-20210504_level-01B_run-007,sub-cp015,2,body_movement,42,True,classification,0,1,0.9043734,0.00018656254,0.90004265,0.9043734,0.90418684,0.88865864
sub-cp015_ses-20210504_level-01B_run-012,sub-cp015,2,body_movement,42,True,classification,0,0,0.9128896,0.00072205067,0.9128896,0.91216755,0.9061482,0.88973916
sub-cp015_ses-20210504_level-02B_run-003,sub-cp015,2,body_movement,42,True,classification,1,2,0.91312176,0.0037586093,0.90936315,0.9086016,0.91312176,0.8965454
sub-cp015_ses-20210504_level-02B_run-008,sub-cp015,2,body_movement,42,True,classification,1,1,0.91711533,0.0011243224,0.915991,0.91711533,0.914288,0.8969859
sub-cp015_ses-20210504_level-02B_run-010,sub-cp015,2,body_movement,42,True,classification,1,0,0.9146808,0.00043052435,0.9146808,0.91425025,0.91171026,0.8955653
sub-cp015_ses-20210504_level-03B_run-002,sub-cp015,2,body_movement,42,True,classification,2,0,0.912336,0.0020292997,0.912336,0.90792155,0.9103067,0.89517885
sub-cp015_ses-20210504_level-03B_run-005,sub-cp015,2,body_movement,42,True,classification,2,0,0.9036242,0.0033416748,0.9036242,0.9002825,0.89975125,0.8856149
sub-cp015_ses-20210504_level-03B_run-011,sub-cp015,2,body_movement,42,True,classification,2,0,0.9150085,0.001141727,0.9150085,0.91386676,0.9066289,0.89214987
sub-cp015_ses-20210504_level-04B_run-004,sub-cp015,2,body_movement,42,True,classification,3,1,0.8987213,0.0044160485,0.8939408,0.8987213,0.8943052,0.87076837
sub-cp015_ses-20210504_level-04B_run-006,sub-cp015,2,body_movement,42,True,classification,3,2,0.91532934,0.006090164,0.90831804,0.9092392,0.91532934,0.9054358
sub-cp015_ses-20210504_level-04B_run-009,sub-cp015,2,body_movement,42,True,classification,3,0,0.91686606,0.0019416809,0.91686606,0.9149244,0.9088361,0.8990192
sub-cp020_ses-20210604_level-01B_run-001,sub-cp020,2,body_movement,42,True,classification,0,2,0.9298867,0.0015526414,0.92833406,0.9173414,0.9298867,0.9203409
sub-cp020_ses-20210604_level-01B_run-007,sub-cp020,2,body_movement,42,True,classification,0,0,0.90350044,0.0007059574,0.90350044,0.89970255,0.9027945,0.9015345
sub-cp020_ses-20210604_level-01B_run-012,sub-cp020,2,body_movement,42,True,classification,0,1,0.89717364,0.0002360344,0.89563185,0.89717364,0.89155495,0.8969376
sub-cp020_ses-20210604_level-02B_run-003,sub-cp020,2,body_movement,42,True,classification,1,2,0.92855865,0.005144775,0.9234139,0.9183028,0.92855865,0.90481675
sub-cp020_ses-20210604_level-02B_run-008,sub-cp020,2,body_movement,42,True,classification,1,2,0.9329473,0.007787347,0.91515136,0.92515993,0.9329473,0.92346203
sub-cp020_ses-20210604_level-02B_run-010,sub-cp020,2,body_movement,42,True,classification,1,2,0.93044424,0.005299866,0.922619,0.9179307,0.93044424,0.9251444
sub-cp020_ses-20210604_level-03B_run-002,sub-cp020,2,body_movement,42,True,classification,2,2,0.91511935,0.0018521547,0.9126359,0.9132672,0.91511935,0.90767473
sub-cp020_ses-20210604_level-03B_run-005,sub-cp020,2,body_movement,42,True,classification,2,2,0.9349673,0.0045526624,0.9256677,0.9304146,0.9349673,0.92813826
sub-cp020_ses-20210604_level-03B_run-011,sub-cp020,2,body_movement,42,True,classification,2,3,0.93631315,0.0076892376,0.9205271,0.9286239,0.92434627,0.93631315
sub-cp020_ses-20210604_level-04B_run-004,sub-cp020,2,body_movement,42,True,classification,3,2,0.93424654,0.0069048405,0.9273417,0.92446953,0.93424654,0.91884965
sub-cp020_ses-20210604_level-04B_run-006,sub-cp020,2,body_movement,42,True,classification,3,2,0.9355062,0.004727721,0.9307785,0.9267429,0.9355062,0.9153921
sub-cp020_ses-20210604_level-04B_run-009,sub-cp020,2,body_movement,42,True,classification,3,2,0.9260249,0.0070023537,0.9120881,0.9145107,0.9260249,0.91902256
sub-cp026_ses-20210716_level-01B_run-001,sub-cp026,2,body_movement,42,True,classification,0,2,0.92113435,0.0020195246,0.9122882,0.9186627,0.92113435,0.9191148
sub-cp026_ses-20210716_level-01B_run-007,sub-cp026,2,body_movement,42,True,classification,0,2,0.9287565,0.0058115125,0.9154132,0.92294496,0.9287565,0.92176795
sub-cp026_ses-20210716_level-01B_run-012,sub-cp026,2,body_movement,42,True,classification,0,2,0.928147,0.0022636056,0.91252697,0.92308456,0.928147,0.9258834
sub-cp026_ses-20210716_level-02B_run-003,sub-cp026,2,body_movement,42,True,classification,1,2,0.9313421,0.0044323206,0.90226173,0.91813785,0.9313421,0.9269098
sub-cp026_ses-20210716_level-02B_run-008,sub-cp026,2,body_movement,42,True,classification,1,2,0.9272028,0.012896657,0.9067004,0.9129087,0.9272028,0.91430616
sub-cp026_ses-20210716_level-02B_run-010,sub-cp026,2,body_movement,42,True,classification,1,3,0.92185307,0.0022324324,0.90237486,0.916505,0.91962063,0.92185307
sub-cp026_ses-20210716_level-03B_run-002,sub-cp026,2,body_movement,42,True,classification,2,2,0.9302817,0.008657515,0.9041439,0.92032546,0.9302817,0.9216242
sub-cp026_ses-20210716_level-03B_run-005,sub-cp026,2,body_movement,42,True,classification,2,3,0.9007929,0.0020910501,0.8927539,0.89870185,0.89865124,0.9007929
sub-cp026_ses-20210716_level-03B_run-011,sub-cp026,2,body_movement,42,True,classification,2,2,0.9161184,0.004941523,0.8951185,0.90419793,0.9161184,0.91117686
sub-cp026_ses-20210716_level-04B_run-004,sub-cp026,2,body_movement,42,True,classification,3,2,0.9317243,0.008836567,0.9076206,0.9205781,0.9317243,0.92288774
sub-cp026_ses-20210716_level-04B_run-006,sub-cp026,2,body_movement,42,True,classification,3,2,0.92441624,0.0015265346,0.9084343,0.9176299,0.92441624,0.9228897
sub-cp026_ses-20210716_level-04B_run-009,sub-cp026,2,body_movement,42,True,classification,3,2,0.9245792,0.0010009408,0.90282273,0.91546255,0.9245792,0.92357826
sub-cp031_ses-20211216_level-01B_run-001,sub-cp031,2,body_movement,42,True,classification,0,0,0.91397196,0.00053453445,0.91397196,0.9134374,0.8980982,0.89848876
sub-cp031_ses-20211216_level-01B_run-007,sub-cp031,2,body_movement,42,True,classification,0,1,0.9145142,0.0018457174,0.91266847,0.9145142,0.8978369,0.8969295
sub-cp031_ses-20211216_level-02B_run-003,sub-cp031,2,body_movement,42,True,classification,1,0,0.9137507,0.0019053817,0.9137507,0.9118453,0.88775283,0.8888252
sub-cp031_ses-20211216_level-02B_run-008,sub-cp031,2,body_movement,42,True,classification,1,1,0.9211284,0.00572896,0.91539943,0.9211284,0.9043418,0.8998656
sub-cp031_ses-20211216_level-02B_run-010,sub-cp031,2,body_movement,42,True,classification,1,1,0.92302436,0.0093691945,0.91365516,0.92302436,0.9067476,0.9037268
sub-cp031_ses-20211216_level-02B_run-012,sub-cp031,2,body_movement,42,True,classification,1,1,0.9224448,0.0051283836,0.91731644,0.9224448,0.90136635,0.9037758
sub-cp031_ses-20211216_level-03B_run-002,sub-cp031,2,body_movement,42,True,classification,2,1,0.9234071,0.0017803907,0.9216267,0.9234071,0.9086546,0.90310824
sub-cp031_ses-20211216_level-03B_run-005,sub-cp031,2,body_movement,42,True,classification,2,1,0.91848475,0.004222214,0.91426253,0.91848475,0.91349554,0.9001006
sub-cp031_ses-20211216_level-03B_run-011,sub-cp031,2,body_movement,42,True,classification,2,1,0.9187885,0.010412455,0.90837604,0.9187885,0.9053519,0.9036753
sub-cp031_ses-20211216_level-04B_run-004,sub-cp031,2,body_movement,42,True,classification,3,1,0.91975594,0.0066704154,0.9130855,0.91975594,0.90217584,0.8925258
sub-cp031_ses-20211216_level-04B_run-006,sub-cp031,2,body_movement,42,True,classification,3,1,0.91862786,0.0060118437,0.912616,0.91862786,0.9042882,0.9018899
sub-cp031_ses-20211216_level-04B_run-009,sub-cp031,2,body_movement,42,True,classification,3,1,0.90955085,0.01830113,0.8912497,0.90955085,0.8889196,0.8899426
sub-cp038_ses-20220112_level-01B_run-001,sub-cp038,2,body_movement,42,True,classification,0,1,0.8711061,0.0046756864,0.8597206,0.8711061,0.8664304,0.86622226
sub-cp038_ses-20220112_level-01B_run-007,sub-cp038,2,body_movement,42,True,classification,0,3,0.86732537,0.000526309,0.85648215,0.86679906,0.8667913,0.86732537
sub-cp038_ses-20220112_level-01B_run-012,sub-cp038,2,body_movement,42,True,classification,0,3,0.86728215,0.00408113,0.85195196,0.863201,0.8626233,0.86728215
sub-cp038_ses-20220112_level-02B_run-003,sub-cp038,2,body_movement,42,True,classification,1,1,0.87391824,0.0011401772,0.8606568,0.87391824,0.8714889,0.87277806
sub-cp038_ses-20220112_level-02B_run-008,sub-cp038,2,body_movement,42,True,classification,1,3,0.87300634,0.001532197,0.86558676,0.87147415,0.8702707,0.87300634
sub-cp038_ses-20220112_level-02B_run-010,sub-cp038,2,body_movement,42,True,classification,1,1,0.87350404,0.00196594,0.8614931,0.87350404,0.867678,0.8715381
sub-cp038_ses-20220112_level-03B_run-002,sub-cp038,2,body_movement,42,True,classification,2,1,0.87471914,0.00068712234,0.85788363,0.87471914,0.86975545,0.874032
sub-cp038_ses-20220112_level-03B_run-005,sub-cp038,2,body_movement,42,True,classification,2,3,0.8771862,0.002232194,0.86387646,0.874954,0.8711885,0.8771862
