run_key,subject_id,outer_fold,target_score,prediction_raw,prediction_bounded,residual_bounded,model,source_path,source_sha256,derived_readonly_reference
sub-cp004_ses-20210330_level-02B_run-010,sub-cp004,1,2.0,2.0989139598504125,2.0989139598504125,-0.09891395985041251,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp004_ses-20210330_level-03B_run-002,sub-cp004,1,3.0,2.9292782360482885,2.9292782360482885,0.07072176395171148,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp004_ses-20210330_level-03B_run-005,sub-cp004,1,3.0,3.1049143324507127,3.1049143324507127,-0.10491433245071269,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp004_ses-20210330_level-03B_run-011,sub-cp004,1,3.0,2.9852205754285626,2.9852205754285626,0.014779424571437438,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp004_ses-20210330_level-04B_run-004,sub-cp004,1,4.0,4.193192408416822,4.0,0.0,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp004_ses-20210330_level-04B_run-006,sub-cp004,1,4.0,3.9464613977635823,3.9464613977635823,0.05353860223641771,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp004_ses-20210330_level-04B_run-009,sub-cp004,1,4.0,3.705513844187771,3.705513844187771,0.2944861558122289,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp005_ses-20210226_level-01B_run-001,sub-cp005,5,1.0,1.3910558744299606,1.3910558744299606,-0.3910558744299606,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp005_ses-20210226_level-01B_run-007,sub-cp005,5,1.0,1.6871351411113698,1.6871351411113698,-0.6871351411113698,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp005_ses-20210226_level-01B_run-012,sub-cp005,5,1.0,1.167898077065702,1.167898077065702,-0.16789807706570192,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp005_ses-20210226_level-02B_run-003,sub-cp005,5,2.0,2.4461778956808344,2.4461778956808344,-0.44617789568083444,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp005_ses-20210226_level-02B_run-008,sub-cp005,5,2.0,2.1489851812438223,2.1489851812438223,-0.14898518124382232,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp005_ses-20210226_level-02B_run-010,sub-cp005,5,2.0,1.9877213623101624,1.9877213623101624,0.012278637689837613,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp005_ses-20210226_level-03B_run-002,sub-cp005,5,3.0,3.0716525803618113,3.0716525803618113,-0.07165258036181132,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp005_ses-20210226_level-03B_run-005,sub-cp005,5,3.0,3.4509787322493337,3.4509787322493337,-0.4509787322493337,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp005_ses-20210226_level-03B_run-011,sub-cp005,5,3.0,3.1131250235976853,3.1131250235976853,-0.11312502359768528,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp005_ses-20210226_level-04B_run-004,sub-cp005,5,4.0,3.5536911266825797,3.5536911266825797,0.4463088733174203,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp005_ses-20210226_level-04B_run-006,sub-cp005,5,4.0,4.343207182669399,4.0,0.0,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp005_ses-20210226_level-04B_run-009,sub-cp005,5,4.0,3.7493041169618193,3.7493041169618193,0.2506958830381807,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp006_ses-20210324_level-01B_run-001,sub-cp006,4,1.0,1.3845524433480834,1.3845524433480834,-0.38455244334808336,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp006_ses-20210324_level-01B_run-007,sub-cp006,4,1.0,1.0771324833908653,1.0771324833908653,-0.07713248339086531,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp006_ses-20210324_level-01B_run-012,sub-cp006,4,1.0,1.0424518372168057,1.0424518372168057,-0.04245183721680568,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp006_ses-20210324_level-02B_run-003,sub-cp006,4,2.0,1.8985886916584271,1.8985886916584271,0.10141130834157286,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp006_ses-20210324_level-02B_run-008,sub-cp006,4,2.0,2.1221286297096356,2.1221286297096356,-0.12212862970963556,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp006_ses-20210324_level-02B_run-010,sub-cp006,4,2.0,1.717747136322312,1.717747136322312,0.282252863677688,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp006_ses-20210324_level-03B_run-002,sub-cp006,4,3.0,2.98267799745966,2.98267799745966,0.017322002540339998,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp006_ses-20210324_level-03B_run-005,sub-cp006,4,3.0,2.800237967691867,2.800237967691867,0.19976203230813283,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp006_ses-20210324_level-03B_run-011,sub-cp006,4,3.0,2.930453037643406,2.930453037643406,0.06954696235659386,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp006_ses-20210324_level-04B_run-004,sub-cp006,4,4.0,4.179276712300535,4.0,0.0,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp006_ses-20210324_level-04B_run-006,sub-cp006,4,4.0,3.624090352895377,3.624090352895377,0.3759096471046228,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp006_ses-20210324_level-04B_run-009,sub-cp006,4,4.0,3.6627243717242655,3.6627243717242655,0.33727562827573454,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp008_ses-20210503_level-01B_run-001,sub-cp008,3,1.0,1.744305682754534,1.744305682754534,-0.744305682754534,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp008_ses-20210503_level-01B_run-007,sub-cp008,3,1.0,1.224378229568543,1.224378229568543,-0.22437822956854303,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp008_ses-20210503_level-01B_run-012,sub-cp008,3,1.0,1.0112269550713213,1.0112269550713213,-0.01122695507132132,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp008_ses-20210503_level-02B_run-003,sub-cp008,3,2.0,1.9811723604337554,1.9811723604337554,0.01882763956624456,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp008_ses-20210503_level-02B_run-008,sub-cp008,3,2.0,1.8541247196906592,1.8541247196906592,0.14587528030934083,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp008_ses-20210503_level-02B_run-010,sub-cp008,3,2.0,1.456203827221255,1.456203827221255,0.543796172778745,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp008_ses-20210503_level-03B_run-002,sub-cp008,3,3.0,2.8252183310439585,2.8252183310439585,0.17478166895604152,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp008_ses-20210503_level-03B_run-005,sub-cp008,3,3.0,2.823868439787345,2.823868439787345,0.1761315602126552,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp008_ses-20210503_level-03B_run-011,sub-cp008,3,3.0,2.8622353730900167,2.8622353730900167,0.13776462690998326,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp008_ses-20210503_level-04B_run-004,sub-cp008,3,4.0,3.8984908330824823,3.8984908330824823,0.10150916691751766,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp008_ses-20210503_level-04B_run-006,sub-cp008,3,4.0,3.9975452844558332,3.9975452844558332,0.0024547155441667634,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp008_ses-20210503_level-04B_run-009,sub-cp008,3,4.0,4.096063263127898,4.0,0.0,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp009_ses-20210129_level-01B_run-001,sub-cp009,2,1.0,1.5530464894894034,1.5530464894894034,-0.5530464894894034,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp009_ses-20210129_level-01B_run-007,sub-cp009,2,1.0,1.4908285612138257,1.4908285612138257,-0.4908285612138257,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp009_ses-20210129_level-01B_run-012,sub-cp009,2,1.0,1.6698510507293272,1.6698510507293272,-0.6698510507293272,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp009_ses-20210129_level-02B_run-003,sub-cp009,2,2.0,1.531863325251409,1.531863325251409,0.4681366747485911,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp009_ses-20210129_level-02B_run-008,sub-cp009,2,2.0,1.8217260093296006,1.8217260093296006,0.1782739906703994,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp009_ses-20210129_level-02B_run-010,sub-cp009,2,2.0,1.5255169643322493,1.5255169643322493,0.47448303566775074,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp009_ses-20210129_level-03B_run-002,sub-cp009,2,3.0,2.87280259114473,2.87280259114473,0.12719740885526987,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp009_ses-20210129_level-03B_run-005,sub-cp009,2,3.0,2.692535812973968,2.692535812973968,0.30746418702603195,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp009_ses-20210129_level-03B_run-011,sub-cp009,2,3.0,2.637076823029993,2.637076823029993,0.362923176970007,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp009_ses-20210129_level-04B_run-004,sub-cp009,2,4.0,3.3349558851475427,3.3349558851475427,0.6650441148524573,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp009_ses-20210129_level-04B_run-006,sub-cp009,2,4.0,3.8514017707911234,3.8514017707911234,0.14859822920887655,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp009_ses-20210129_level-04B_run-009,sub-cp009,2,4.0,3.6029324003943786,3.6029324003943786,0.39706759960562144,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp011_ses-20210408_level-01B_run-001,sub-cp011,1,1.0,1.7409588514530423,1.7409588514530423,-0.7409588514530423,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp011_ses-20210408_level-01B_run-007,sub-cp011,1,1.0,1.346712531200519,1.346712531200519,-0.34671253120051904,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp011_ses-20210408_level-01B_run-012,sub-cp011,1,1.0,1.7011989817913378,1.7011989817913378,-0.7011989817913378,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp011_ses-20210408_level-02B_run-003,sub-cp011,1,2.0,2.9260413447361513,2.9260413447361513,-0.9260413447361513,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp011_ses-20210408_level-02B_run-008,sub-cp011,1,2.0,1.7287462125784365,1.7287462125784365,0.2712537874215635,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp011_ses-20210408_level-02B_run-010,sub-cp011,1,2.0,2.423360592232899,2.423360592232899,-0.4233605922328989,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
sub-cp011_ses-20210408_level-03B_run-002,sub-cp011,1,3.0,3.0371156918158557,3.0371156918158557,-0.03711569181585572,multimodal_reference,E:\hdc-vr-pilot\experiments\phase_05_basic_dual_output_hdc\results\oof\vanilla_hdc_ridge_regression_oof.csv,a449d8f43a0935f0a3fcf8cf901894e426a83e552807dcef9551bc983ba22758,True
