loso_split,test_subject,run_key,subject_id,original_outer_fold,target_class,target_score,train_subject_count,test_subject_count,subject_overlap
8,sub-cp012,sub-cp012_ses-20210723_level-04B_run-006,sub-cp012,4,3,4.0,34,1,0
8,sub-cp012,sub-cp012_ses-20210723_level-04B_run-009,sub-cp012,4,3,4.0,34,1,0
9,sub-cp013,sub-cp013_ses-20210319_level-01B_run-001,sub-cp013,2,0,1.0,34,1,0
9,sub-cp013,sub-cp013_ses-20210319_level-01B_run-007,sub-cp013,2,0,1.0,34,1,0
9,sub-cp013,sub-cp013_ses-20210319_level-01B_run-012,sub-cp013,2,0,1.0,34,1,0
9,sub-cp013,sub-cp013_ses-20210319_level-02B_run-003,sub-cp013,2,1,2.0,34,1,0
9,sub-cp013,sub-cp013_ses-20210319_level-02B_run-008,sub-cp013,2,1,2.0,34,1,0
9,sub-cp013,sub-cp013_ses-20210319_level-02B_run-010,sub-cp013,2,1,2.0,34,1,0
9,sub-cp013,sub-cp013_ses-20210319_level-03B_run-002,sub-cp013,2,2,3.0,34,1,0
9,sub-cp013,sub-cp013_ses-20210319_level-03B_run-005,sub-cp013,2,2,3.0,34,1,0
9,sub-cp013,sub-cp013_ses-20210319_level-03B_run-011,sub-cp013,2,2,3.0,34,1,0
9,sub-cp013,sub-cp013_ses-20210319_level-04B_run-004,sub-cp013,2,3,4.0,34,1,0
9,sub-cp013,sub-cp013_ses-20210319_level-04B_run-006,sub-cp013,2,3,4.0,34,1,0
9,sub-cp013,sub-cp013_ses-20210319_level-04B_run-009,sub-cp013,2,3,4.0,34,1,0
10,sub-cp014,sub-cp014_ses-20211112_level-01B_run-001,sub-cp014,3,0,1.0,34,1,0
10,sub-cp014,sub-cp014_ses-20211112_level-01B_run-007,sub-cp014,3,0,1.0,34,1,0
10,sub-cp014,sub-cp014_ses-20211112_level-01B_run-012,sub-cp014,3,0,1.0,34,1,0
10,sub-cp014,sub-cp014_ses-20211112_level-02B_run-003,sub-cp014,3,1,2.0,34,1,0
10,sub-cp014,sub-cp014_ses-20211112_level-02B_run-008,sub-cp014,3,1,2.0,34,1,0
10,sub-cp014,sub-cp014_ses-20211112_level-02B_run-010,sub-cp014,3,1,2.0,34,1,0
10,sub-cp014,sub-cp014_ses-20211112_level-03B_run-002,sub-cp014,3,2,3.0,34,1,0
10,sub-cp014,sub-cp014_ses-20211112_level-03B_run-005,sub-cp014,3,2,3.0,34,1,0
10,sub-cp014,sub-cp014_ses-20211112_level-03B_run-011,sub-cp014,3,2,3.0,34,1,0
10,sub-cp014,sub-cp014_ses-20211112_level-04B_run-004,sub-cp014,3,3,4.0,34,1,0
10,sub-cp014,sub-cp014_ses-20211112_level-04B_run-006,sub-cp014,3,3,4.0,34,1,0
10,sub-cp014,sub-cp014_ses-20211112_level-04B_run-009,sub-cp014,3,3,4.0,34,1,0
11,sub-cp015,sub-cp015_ses-20210504_level-01B_run-001,sub-cp015,2,0,1.0,34,1,0
11,sub-cp015,sub-cp015_ses-20210504_level-01B_run-007,sub-cp015,2,0,1.0,34,1,0
11,sub-cp015,sub-cp015_ses-20210504_level-01B_run-012,sub-cp015,2,0,1.0,34,1,0
11,sub-cp015,sub-cp015_ses-20210504_level-02B_run-003,sub-cp015,2,1,2.0,34,1,0
11,sub-cp015,sub-cp015_ses-20210504_level-02B_run-008,sub-cp015,2,1,2.0,34,1,0
11,sub-cp015,sub-cp015_ses-20210504_level-02B_run-010,sub-cp015,2,1,2.0,34,1,0
11,sub-cp015,sub-cp015_ses-20210504_level-03B_run-002,sub-cp015,2,2,3.0,34,1,0
11,sub-cp015,sub-cp015_ses-20210504_level-03B_run-005,sub-cp015,2,2,3.0,34,1,0
11,sub-cp015,sub-cp015_ses-20210504_level-03B_run-011,sub-cp015,2,2,3.0,34,1,0
11,sub-cp015,sub-cp015_ses-20210504_level-04B_run-004,sub-cp015,2,3,4.0,34,1,0
11,sub-cp015,sub-cp015_ses-20210504_level-04B_run-006,sub-cp015,2,3,4.0,34,1,0
11,sub-cp015,sub-cp015_ses-20210504_level-04B_run-009,sub-cp015,2,3,4.0,34,1,0
12,sub-cp016,sub-cp016_ses-20210528_level-01B_run-001,sub-cp016,1,0,1.0,34,1,0
12,sub-cp016,sub-cp016_ses-20210528_level-01B_run-007,sub-cp016,1,0,1.0,34,1,0
12,sub-cp016,sub-cp016_ses-20210528_level-01B_run-012,sub-cp016,1,0,1.0,34,1,0
12,sub-cp016,sub-cp016_ses-20210528_level-02B_run-003,sub-cp016,1,1,2.0,34,1,0
12,sub-cp016,sub-cp016_ses-20210528_level-02B_run-008,sub-cp016,1,1,2.0,34,1,0
12,sub-cp016,sub-cp016_ses-20210528_level-02B_run-010,sub-cp016,1,1,2.0,34,1,0
12,sub-cp016,sub-cp016_ses-20210528_level-03B_run-002,sub-cp016,1,2,3.0,34,1,0
12,sub-cp016,sub-cp016_ses-20210528_level-03B_run-005,sub-cp016,1,2,3.0,34,1,0
12,sub-cp016,sub-cp016_ses-20210528_level-03B_run-011,sub-cp016,1,2,3.0,34,1,0
12,sub-cp016,sub-cp016_ses-20210528_level-04B_run-004,sub-cp016,1,3,4.0,34,1,0
12,sub-cp016,sub-cp016_ses-20210528_level-04B_run-006,sub-cp016,1,3,4.0,34,1,0
12,sub-cp016,sub-cp016_ses-20210528_level-04B_run-009,sub-cp016,1,3,4.0,34,1,0
13,sub-cp017,sub-cp017_ses-20210521_level-01B_run-001,sub-cp017,5,0,1.0,34,1,0
13,sub-cp017,sub-cp017_ses-20210521_level-01B_run-007,sub-cp017,5,0,1.0,34,1,0
13,sub-cp017,sub-cp017_ses-20210521_level-01B_run-012,sub-cp017,5,0,1.0,34,1,0
13,sub-cp017,sub-cp017_ses-20210521_level-02B_run-003,sub-cp017,5,1,2.0,34,1,0
13,sub-cp017,sub-cp017_ses-20210521_level-02B_run-008,sub-cp017,5,1,2.0,34,1,0
13,sub-cp017,sub-cp017_ses-20210521_level-02B_run-010,sub-cp017,5,1,2.0,34,1,0
13,sub-cp017,sub-cp017_ses-20210521_level-03B_run-002,sub-cp017,5,2,3.0,34,1,0
13,sub-cp017,sub-cp017_ses-20210521_level-03B_run-005,sub-cp017,5,2,3.0,34,1,0
13,sub-cp017,sub-cp017_ses-20210521_level-03B_run-011,sub-cp017,5,2,3.0,34,1,0
13,sub-cp017,sub-cp017_ses-20210521_level-04B_run-004,sub-cp017,5,3,4.0,34,1,0
13,sub-cp017,sub-cp017_ses-20210521_level-04B_run-006,sub-cp017,5,3,4.0,34,1,0
13,sub-cp017,sub-cp017_ses-20210521_level-04B_run-009,sub-cp017,5,3,4.0,34,1,0
14,sub-cp018,sub-cp018_ses-20210709_level-01B_run-001,sub-cp018,4,0,1.0,34,1,0
14,sub-cp018,sub-cp018_ses-20210709_level-01B_run-007,sub-cp018,4,0,1.0,34,1,0
14,sub-cp018,sub-cp018_ses-20210709_level-01B_run-012,sub-cp018,4,0,1.0,34,1,0
14,sub-cp018,sub-cp018_ses-20210709_level-02B_run-003,sub-cp018,4,1,2.0,34,1,0
14,sub-cp018,sub-cp018_ses-20210709_level-02B_run-008,sub-cp018,4,1,2.0,34,1,0
14,sub-cp018,sub-cp018_ses-20210709_level-02B_run-010,sub-cp018,4,1,2.0,34,1,0
14,sub-cp018,sub-cp018_ses-20210709_level-03B_run-002,sub-cp018,4,2,3.0,34,1,0
14,sub-cp018,sub-cp018_ses-20210709_level-03B_run-005,sub-cp018,4,2,3.0,34,1,0
14,sub-cp018,sub-cp018_ses-20210709_level-03B_run-011,sub-cp018,4,2,3.0,34,1,0
14,sub-cp018,sub-cp018_ses-20210709_level-04B_run-004,sub-cp018,4,3,4.0,34,1,0
14,sub-cp018,sub-cp018_ses-20210709_level-04B_run-006,sub-cp018,4,3,4.0,34,1,0
14,sub-cp018,sub-cp018_ses-20210709_level-04B_run-009,sub-cp018,4,3,4.0,34,1,0
15,sub-cp019,sub-cp019_ses-20210625_level-01B_run-001,sub-cp019,3,0,1.0,34,1,0
15,sub-cp019,sub-cp019_ses-20210625_level-01B_run-007,sub-cp019,3,0,1.0,34,1,0
15,sub-cp019,sub-cp019_ses-20210625_level-01B_run-012,sub-cp019,3,0,1.0,34,1,0
15,sub-cp019,sub-cp019_ses-20210625_level-02B_run-003,sub-cp019,3,1,2.0,34,1,0
15,sub-cp019,sub-cp019_ses-20210625_level-02B_run-008,sub-cp019,3,1,2.0,34,1,0
15,sub-cp019,sub-cp019_ses-20210625_level-02B_run-010,sub-cp019,3,1,2.0,34,1,0
15,sub-cp019,sub-cp019_ses-20210625_level-03B_run-002,sub-cp019,3,2,3.0,34,1,0
15,sub-cp019,sub-cp019_ses-20210625_level-03B_run-005,sub-cp019,3,2,3.0,34,1,0
15,sub-cp019,sub-cp019_ses-20210625_level-03B_run-011,sub-cp019,3,2,3.0,34,1,0
15,sub-cp019,sub-cp019_ses-20210625_level-04B_run-004,sub-cp019,3,3,4.0,34,1,0
15,sub-cp019,sub-cp019_ses-20210625_level-04B_run-006,sub-cp019,3,3,4.0,34,1,0
15,sub-cp019,sub-cp019_ses-20210625_level-04B_run-009,sub-cp019,3,3,4.0,34,1,0
16,sub-cp020,sub-cp020_ses-20210604_level-01B_run-001,sub-cp020,2,0,1.0,34,1,0
16,sub-cp020,sub-cp020_ses-20210604_level-01B_run-007,sub-cp020,2,0,1.0,34,1,0
16,sub-cp020,sub-cp020_ses-20210604_level-01B_run-012,sub-cp020,2,0,1.0,34,1,0
16,sub-cp020,sub-cp020_ses-20210604_level-02B_run-003,sub-cp020,2,1,2.0,34,1,0
16,sub-cp020,sub-cp020_ses-20210604_level-02B_run-008,sub-cp020,2,1,2.0,34,1,0
16,sub-cp020,sub-cp020_ses-20210604_level-02B_run-010,sub-cp020,2,1,2.0,34,1,0
16,sub-cp020,sub-cp020_ses-20210604_level-03B_run-002,sub-cp020,2,2,3.0,34,1,0
16,sub-cp020,sub-cp020_ses-20210604_level-03B_run-005,sub-cp020,2,2,3.0,34,1,0
16,sub-cp020,sub-cp020_ses-20210604_level-03B_run-011,sub-cp020,2,2,3.0,34,1,0
16,sub-cp020,sub-cp020_ses-20210604_level-04B_run-004,sub-cp020,2,3,4.0,34,1,0
16,sub-cp020,sub-cp020_ses-20210604_level-04B_run-006,sub-cp020,2,3,4.0,34,1,0
16,sub-cp020,sub-cp020_ses-20210604_level-04B_run-009,sub-cp020,2,3,4.0,34,1,0
17,sub-cp022,sub-cp022_ses-20210621_level-01B_run-001,sub-cp022,5,0,1.0,34,1,0
17,sub-cp022,sub-cp022_ses-20210621_level-01B_run-007,sub-cp022,5,0,1.0,34,1,0
17,sub-cp022,sub-cp022_ses-20210621_level-01B_run-012,sub-cp022,5,0,1.0,34,1,0
17,sub-cp022,sub-cp022_ses-20210621_level-02B_run-003,sub-cp022,5,1,2.0,34,1,0
17,sub-cp022,sub-cp022_ses-20210621_level-02B_run-008,sub-cp022,5,1,2.0,34,1,0
17,sub-cp022,sub-cp022_ses-20210621_level-02B_run-010,sub-cp022,5,1,2.0,34,1,0
17,sub-cp022,sub-cp022_ses-20210621_level-03B_run-002,sub-cp022,5,2,3.0,34,1,0
17,sub-cp022,sub-cp022_ses-20210621_level-03B_run-005,sub-cp022,5,2,3.0,34,1,0
17,sub-cp022,sub-cp022_ses-20210621_level-03B_run-011,sub-cp022,5,2,3.0,34,1,0
17,sub-cp022,sub-cp022_ses-20210621_level-04B_run-004,sub-cp022,5,3,4.0,34,1,0
17,sub-cp022,sub-cp022_ses-20210621_level-04B_run-006,sub-cp022,5,3,4.0,34,1,0
17,sub-cp022,sub-cp022_ses-20210621_level-04B_run-009,sub-cp022,5,3,4.0,34,1,0
18,sub-cp023,sub-cp023_ses-20210628_level-01B_run-001,sub-cp023,3,0,1.0,34,1,0
18,sub-cp023,sub-cp023_ses-20210628_level-01B_run-007,sub-cp023,3,0,1.0,34,1,0
18,sub-cp023,sub-cp023_ses-20210628_level-01B_run-012,sub-cp023,3,0,1.0,34,1,0
18,sub-cp023,sub-cp023_ses-20210628_level-02B_run-003,sub-cp023,3,1,2.0,34,1,0
18,sub-cp023,sub-cp023_ses-20210628_level-02B_run-008,sub-cp023,3,1,2.0,34,1,0
18,sub-cp023,sub-cp023_ses-20210628_level-02B_run-010,sub-cp023,3,1,2.0,34,1,0
18,sub-cp023,sub-cp023_ses-20210628_level-03B_run-002,sub-cp023,3,2,3.0,34,1,0
18,sub-cp023,sub-cp023_ses-20210628_level-03B_run-005,sub-cp023,3,2,3.0,34,1,0
18,sub-cp023,sub-cp023_ses-20210628_level-03B_run-011,sub-cp023,3,2,3.0,34,1,0
18,sub-cp023,sub-cp023_ses-20210628_level-04B_run-004,sub-cp023,3,3,4.0,34,1,0
18,sub-cp023,sub-cp023_ses-20210628_level-04B_run-006,sub-cp023,3,3,4.0,34,1,0
18,sub-cp023,sub-cp023_ses-20210628_level-04B_run-009,sub-cp023,3,3,4.0,34,1,0
19,sub-cp024,sub-cp024_ses-20210629_level-01B_run-001,sub-cp024,3,0,1.0,34,1,0
19,sub-cp024,sub-cp024_ses-20210629_level-01B_run-007,sub-cp024,3,0,1.0,34,1,0
19,sub-cp024,sub-cp024_ses-20210629_level-01B_run-012,sub-cp024,3,0,1.0,34,1,0
19,sub-cp024,sub-cp024_ses-20210629_level-02B_run-003,sub-cp024,3,1,2.0,34,1,0
19,sub-cp024,sub-cp024_ses-20210629_level-02B_run-008,sub-cp024,3,1,2.0,34,1,0
19,sub-cp024,sub-cp024_ses-20210629_level-02B_run-010,sub-cp024,3,1,2.0,34,1,0
19,sub-cp024,sub-cp024_ses-20210629_level-03B_run-002,sub-cp024,3,2,3.0,34,1,0
19,sub-cp024,sub-cp024_ses-20210629_level-03B_run-005,sub-cp024,3,2,3.0,34,1,0
19,sub-cp024,sub-cp024_ses-20210629_level-03B_run-011,sub-cp024,3,2,3.0,34,1,0
19,sub-cp024,sub-cp024_ses-20210629_level-04B_run-004,sub-cp024,3,3,4.0,34,1,0
19,sub-cp024,sub-cp024_ses-20210629_level-04B_run-006,sub-cp024,3,3,4.0,34,1,0
19,sub-cp024,sub-cp024_ses-20210629_level-04B_run-009,sub-cp024,3,3,4.0,34,1,0
20,sub-cp025,sub-cp025_ses-20210820_level-01B_run-001,sub-cp025,3,0,1.0,34,1,0
20,sub-cp025,sub-cp025_ses-20210820_level-01B_run-007,sub-cp025,3,0,1.0,34,1,0
20,sub-cp025,sub-cp025_ses-20210820_level-01B_run-012,sub-cp025,3,0,1.0,34,1,0
20,sub-cp025,sub-cp025_ses-20210820_level-02B_run-003,sub-cp025,3,1,2.0,34,1,0
20,sub-cp025,sub-cp025_ses-20210820_level-02B_run-008,sub-cp025,3,1,2.0,34,1,0
20,sub-cp025,sub-cp025_ses-20210820_level-02B_run-010,sub-cp025,3,1,2.0,34,1,0
20,sub-cp025,sub-cp025_ses-20210820_level-03B_run-002,sub-cp025,3,2,3.0,34,1,0
20,sub-cp025,sub-cp025_ses-20210820_level-03B_run-005,sub-cp025,3,2,3.0,34,1,0
20,sub-cp025,sub-cp025_ses-20210820_level-03B_run-011,sub-cp025,3,2,3.0,34,1,0
20,sub-cp025,sub-cp025_ses-20210820_level-04B_run-004,sub-cp025,3,3,4.0,34,1,0
20,sub-cp025,sub-cp025_ses-20210820_level-04B_run-006,sub-cp025,3,3,4.0,34,1,0
20,sub-cp025,sub-cp025_ses-20210820_level-04B_run-009,sub-cp025,3,3,4.0,34,1,0
21,sub-cp026,sub-cp026_ses-20210716_level-01B_run-001,sub-cp026,2,0,1.0,34,1,0
21,sub-cp026,sub-cp026_ses-20210716_level-01B_run-007,sub-cp026,2,0,1.0,34,1,0
21,sub-cp026,sub-cp026_ses-20210716_level-01B_run-012,sub-cp026,2,0,1.0,34,1,0
21,sub-cp026,sub-cp026_ses-20210716_level-02B_run-003,sub-cp026,2,1,2.0,34,1,0
21,sub-cp026,sub-cp026_ses-20210716_level-02B_run-008,sub-cp026,2,1,2.0,34,1,0
21,sub-cp026,sub-cp026_ses-20210716_level-02B_run-010,sub-cp026,2,1,2.0,34,1,0
21,sub-cp026,sub-cp026_ses-20210716_level-03B_run-002,sub-cp026,2,2,3.0,34,1,0
21,sub-cp026,sub-cp026_ses-20210716_level-03B_run-005,sub-cp026,2,2,3.0,34,1,0
21,sub-cp026,sub-cp026_ses-20210716_level-03B_run-011,sub-cp026,2,2,3.0,34,1,0
21,sub-cp026,sub-cp026_ses-20210716_level-04B_run-004,sub-cp026,2,3,4.0,34,1,0
21,sub-cp026,sub-cp026_ses-20210716_level-04B_run-006,sub-cp026,2,3,4.0,34,1,0
21,sub-cp026,sub-cp026_ses-20210716_level-04B_run-009,sub-cp026,2,3,4.0,34,1,0
22,sub-cp027,sub-cp027_ses-20210722_level-01B_run-001,sub-cp027,1,0,1.0,34,1,0
22,sub-cp027,sub-cp027_ses-20210722_level-01B_run-007,sub-cp027,1,0,1.0,34,1,0
22,sub-cp027,sub-cp027_ses-20210722_level-01B_run-012,sub-cp027,1,0,1.0,34,1,0
22,sub-cp027,sub-cp027_ses-20210722_level-02B_run-003,sub-cp027,1,1,2.0,34,1,0
22,sub-cp027,sub-cp027_ses-20210722_level-02B_run-008,sub-cp027,1,1,2.0,34,1,0
22,sub-cp027,sub-cp027_ses-20210722_level-02B_run-010,sub-cp027,1,1,2.0,34,1,0
22,sub-cp027,sub-cp027_ses-20210722_level-03B_run-002,sub-cp027,1,2,3.0,34,1,0
22,sub-cp027,sub-cp027_ses-20210722_level-03B_run-005,sub-cp027,1,2,3.0,34,1,0
22,sub-cp027,sub-cp027_ses-20210722_level-03B_run-011,sub-cp027,1,2,3.0,34,1,0
22,sub-cp027,sub-cp027_ses-20210722_level-04B_run-004,sub-cp027,1,3,4.0,34,1,0
