comparison_family,model_family,task,metric,metric_direction,left_condition,right_condition,n_subjects,left_mean,right_mean,right_minus_left,wilcoxon_statistic,p_value,rank_biserial_right_minus_left,bootstrap_ci_low,bootstrap_ci_high,p_holm,significant_holm_0_05
B_PERFORMANCE_SHORTCUT,TRADITIONAL,classification,macro_f1,higher_is_better,WITHOUT_PERFORMANCE_PRIMARY_REFERENCE,PERFORMANCE_ONLY_AUXILIARY,35,0.9346371882086169,0.7031653267367554,-0.23147186147186147,1.0,8.7177125581864e-07,-0.9962121212121212,-0.29096219851577,-0.17256802721088432,1.74354251163728e-06,True
C_FLIGHT_PROVENANCE_SENSITIVITY,HDC,classification,macro_f1,higher_is_better,FLIGHT_FULL,FLIGHT_BEHAVIORAL_ONLY,35,0.8529251700680271,0.8415450026164312,-0.011380167451596025,13.0,0.13683830956331505,-0.5272727272727272,-0.029091902145473574,0.004624934589220296,0.13683830956331505,False
C_FLIGHT_PROVENANCE_SENSITIVITY,TRADITIONAL,classification,macro_f1,higher_is_better,FLIGHT_FULL,FLIGHT_BEHAVIORAL_ONLY,35,0.9507838589981447,0.9429097093382808,-0.007874149659863943,0.0,0.10880943004054568,-1.0,-0.01775552721088435,0.0,0.10880943004054568,False
A_EARLY_FUSION,HDC,regression,bounded_mae,lower_is_better,FUSION_PE,FUSION_PEH,35,0.8929915045969699,0.8620484215692641,-0.03094308302770565,263.0,0.40358865744201466,-0.16507936507936508,-0.09692936610936152,0.03453716294560603,0.8071773148840293,False
A_EARLY_FUSION,TRADITIONAL,regression,bounded_mae,lower_is_better,FUSION_PE,FUSION_PEH,35,0.8189379749271117,0.8169608989233155,-0.0019770760037963807,313.0,0.9806487238383852,-0.006349206349206349,-0.04644113675368691,0.04366364695701699,0.9806487238383852,False
A_EARLY_FUSION,HDC,regression,bounded_mae,lower_is_better,FUSION_PEH,FUSION_PEHF,35,0.8620484215692641,0.2638199739160173,-0.5982284476532468,0.0,5.820766091346741e-11,-1.0,-0.6889221258887122,-0.5121537644948918,2.3283064365386963e-10,True
A_EARLY_FUSION,TRADITIONAL,regression,bounded_mae,lower_is_better,FUSION_PEH,FUSION_PEHF,35,0.8169608989233155,0.10663294305031726,-0.7103279558729979,0.0,5.820766091346741e-11,-1.0,-0.7659196235261332,-0.6511437409963249,1.7462298274040222e-10,True
A_EARLY_FUSION,HDC,regression,bounded_mae,lower_is_better,BEST_SINGLE_FLIGHT_REFERENCE,FUSION_PEHF,35,0.26094111466017317,0.2638199739160173,0.0028788592558441563,171.0,0.46619403462565867,0.15763546798029557,-0.007319508711071431,0.012620234057683982,0.8071773148840293,False
A_EARLY_FUSION,HDC,regression,bounded_mae,lower_is_better,FULL_PRIMARY_REFERENCE,FUSION_PEHF,35,0.26574185265542666,0.2638199739160173,-0.0019218787394093637,194.0,0.04751871415646747,-0.38412698412698415,-0.0036706972174379627,-0.00016513408788966603,0.1425561424694024,False
A_EARLY_FUSION,TRADITIONAL,regression,bounded_mae,lower_is_better,FULL_PRIMARY_REFERENCE,FUSION_PEHF,35,0.10744059004719353,0.10663294305031726,-0.000807646996876265,91.0,0.3944570025144395,-0.21212121212121213,-0.002599981630255669,0.0007794563114435534,0.788914005028879,False
B_PERFORMANCE_SHORTCUT,HDC,regression,bounded_mae,lower_is_better,WITHOUT_PERFORMANCE_PRIMARY_REFERENCE,WITH_PERFORMANCE_AUXILIARY,35,0.26574185265542666,0.2501703190722944,-0.015571533583132293,179.0,0.02515467262128368,-0.43174603174603177,-0.02999994323772678,-6.102823311121245e-05,0.02515467262128368,True
B_PERFORMANCE_SHORTCUT,TRADITIONAL,regression,bounded_mae,lower_is_better,WITHOUT_PERFORMANCE_PRIMARY_REFERENCE,WITH_PERFORMANCE_AUXILIARY,35,0.10744059004719353,0.10478214460829333,-0.0026584454389002123,256.0,0.342327308608219,-0.1873015873015873,-0.0075792153134406764,0.0013626346648264581,0.342327308608219,False
B_PERFORMANCE_SHORTCUT,HDC,regression,bounded_mae,lower_is_better,WITHOUT_PERFORMANCE_PRIMARY_REFERENCE,PERFORMANCE_ONLY_AUXILIARY,35,0.26574185265542666,0.5445364937757575,0.2787946411203309,0.0,5.820766091346741e-11,1.0,0.2258965711172502,0.3352045061952614,1.1641532182693481e-10,True
B_PERFORMANCE_SHORTCUT,TRADITIONAL,regression,bounded_mae,lower_is_better,WITHOUT_PERFORMANCE_PRIMARY_REFERENCE,PERFORMANCE_ONLY_AUXILIARY,35,0.10744059004719353,0.5267850607118975,0.41934447066470387,0.0,5.820766091346741e-11,1.0,0.36403271242651203,0.4818185114787238,1.1641532182693481e-10,True
C_FLIGHT_PROVENANCE_SENSITIVITY,HDC,regression,bounded_mae,lower_is_better,FLIGHT_FULL,FLIGHT_BEHAVIORAL_ONLY,35,0.26094111466017317,0.26094111466017317,0.0,0.0,1.0,0.0,0.0,0.0,1.0,False
C_FLIGHT_PROVENANCE_SENSITIVITY,TRADITIONAL,regression,bounded_mae,lower_is_better,FLIGHT_FULL,FLIGHT_BEHAVIORAL_ONLY,35,0.09294457355251554,0.09217840884601149,-0.0007661647065040445,74.0,0.14917758906284398,-0.3593073593073593,-0.0018091740800163518,0.00016687748523226383,0.14917758906284398,False
