column_name,column_kind,feature_group,provenance_status,decision
performance_perfmetric_glideslope_error_deg_median,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_glideslope_error_deg_min,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_glideslope_error_deg_missing_ratio,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_glideslope_error_deg_num_missing,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_glideslope_error_deg_range,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_glideslope_error_deg_rms,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_glideslope_error_deg_skew,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_glideslope_error_deg_slope,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_glideslope_error_deg_std,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_localizer_error_deg_iqr,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_localizer_error_deg_kurtosis,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_localizer_error_deg_max,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_localizer_error_deg_mean,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_localizer_error_deg_median,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_localizer_error_deg_min,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_localizer_error_deg_missing_ratio,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_localizer_error_deg_num_missing,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_localizer_error_deg_range,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_localizer_error_deg_rms,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_localizer_error_deg_skew,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_localizer_error_deg_slope,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_localizer_error_deg_std,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_sample_count,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_sampling_rate_estimate,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_total_error_iqr,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_total_error_kurtosis,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_total_error_max,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_total_error_mean,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_total_error_median,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_total_error_min,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_total_error_missing_ratio,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_total_error_num_missing,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_total_error_range,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_total_error_rms,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_total_error_skew,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_total_error_slope,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
performance_perfmetric_total_error_std,feature,performance_features,VERIFIED_OTHER,EXCLUDE_PRIMARY_INCLUDE_AUXILIARY_AND_PERFORMANCE_ONLY
xplane_lslxp11xpcac_aircraft_landing_gear_kurtosis,feature,flight_parameter_features,VERIFIED_OTHER,EXCLUDE_ALL_DATASETS_STRUCTURALLY_UNUSABLE_ALL_NAN
xplane_lslxp11xpcac_aircraft_landing_gear_skew,feature,flight_parameter_features,VERIFIED_OTHER,EXCLUDE_ALL_DATASETS_STRUCTURALLY_UNUSABLE_ALL_NAN
subject_id,identifier_or_target,not_applicable,not_applicable,EXCLUDE_ALL_MODEL_INPUTS
session_id,identifier_or_target,not_applicable,not_applicable,EXCLUDE_ALL_MODEL_INPUTS
run_id,identifier_or_target,not_applicable,not_applicable,EXCLUDE_ALL_MODEL_INPUTS
difficulty_level,identifier_or_target,not_applicable,not_applicable,EXCLUDE_ALL_MODEL_INPUTS
run_key,identifier_or_target,not_applicable,not_applicable,EXCLUDE_ALL_MODEL_INPUTS
target_class,identifier_or_target,not_applicable,not_applicable,EXCLUDE_ALL_MODEL_INPUTS
target_score,identifier_or_target,not_applicable,not_applicable,EXCLUDE_ALL_MODEL_INPUTS
