run_key,difficulty_level_raw,included_in_modeling,exclusion_reason
sub-cp006_ses-20210324_level-02B_run-003,level-02B,True,
sub-cp006_ses-20210324_level-02B_run-008,level-02B,True,
sub-cp006_ses-20210324_level-02B_run-010,level-02B,True,
sub-cp006_ses-20210324_level-03B_run-002,level-03B,True,
sub-cp006_ses-20210324_level-03B_run-005,level-03B,True,
sub-cp006_ses-20210324_level-03B_run-011,level-03B,True,
sub-cp006_ses-20210324_level-04B_run-004,level-04B,True,
sub-cp006_ses-20210324_level-04B_run-006,level-04B,True,
sub-cp006_ses-20210324_level-04B_run-009,level-04B,True,
sub-cp008_ses-20210503_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp008_ses-20210503_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp008_ses-20210503_level-01B_run-001,level-01B,True,
sub-cp008_ses-20210503_level-01B_run-007,level-01B,True,
sub-cp008_ses-20210503_level-01B_run-012,level-01B,True,
sub-cp008_ses-20210503_level-02B_run-003,level-02B,True,
sub-cp008_ses-20210503_level-02B_run-008,level-02B,True,
sub-cp008_ses-20210503_level-02B_run-010,level-02B,True,
sub-cp008_ses-20210503_level-03B_run-002,level-03B,True,
sub-cp008_ses-20210503_level-03B_run-005,level-03B,True,
sub-cp008_ses-20210503_level-03B_run-011,level-03B,True,
sub-cp008_ses-20210503_level-04B_run-004,level-04B,True,
sub-cp008_ses-20210503_level-04B_run-006,level-04B,True,
sub-cp008_ses-20210503_level-04B_run-009,level-04B,True,
sub-cp009_ses-20210129_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp009_ses-20210129_level-01B_run-001,level-01B,True,
sub-cp009_ses-20210129_level-01B_run-007,level-01B,True,
sub-cp009_ses-20210129_level-01B_run-012,level-01B,True,
sub-cp009_ses-20210129_level-02B_run-003,level-02B,True,
sub-cp009_ses-20210129_level-02B_run-008,level-02B,True,
sub-cp009_ses-20210129_level-02B_run-010,level-02B,True,
sub-cp009_ses-20210129_level-03B_run-002,level-03B,True,
sub-cp009_ses-20210129_level-03B_run-005,level-03B,True,
sub-cp009_ses-20210129_level-03B_run-011,level-03B,True,
sub-cp009_ses-20210129_level-04B_run-004,level-04B,True,
sub-cp009_ses-20210129_level-04B_run-006,level-04B,True,
sub-cp009_ses-20210129_level-04B_run-009,level-04B,True,
sub-cp011_ses-20210408_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp011_ses-20210408_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp011_ses-20210408_level-01B_run-001,level-01B,True,
sub-cp011_ses-20210408_level-01B_run-007,level-01B,True,
sub-cp011_ses-20210408_level-01B_run-012,level-01B,True,
sub-cp011_ses-20210408_level-02B_run-003,level-02B,True,
sub-cp011_ses-20210408_level-02B_run-008,level-02B,True,
sub-cp011_ses-20210408_level-02B_run-010,level-02B,True,
sub-cp011_ses-20210408_level-03B_run-002,level-03B,True,
sub-cp011_ses-20210408_level-03B_run-005,level-03B,True,
sub-cp011_ses-20210408_level-03B_run-011,level-03B,True,
sub-cp011_ses-20210408_level-04B_run-004,level-04B,True,
sub-cp011_ses-20210408_level-04B_run-006,level-04B,True,
sub-cp011_ses-20210408_level-04B_run-009,level-04B,True,
sub-cp012_ses-20210723_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp012_ses-20210723_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp012_ses-20210723_level-01B_run-001,level-01B,True,
sub-cp012_ses-20210723_level-01B_run-007,level-01B,True,
sub-cp012_ses-20210723_level-01B_run-012,level-01B,True,
sub-cp012_ses-20210723_level-02B_run-003,level-02B,True,
sub-cp012_ses-20210723_level-02B_run-008,level-02B,True,
sub-cp012_ses-20210723_level-02B_run-010,level-02B,True,
sub-cp012_ses-20210723_level-03B_run-002,level-03B,True,
sub-cp012_ses-20210723_level-03B_run-005,level-03B,True,
sub-cp012_ses-20210723_level-03B_run-011,level-03B,True,
sub-cp012_ses-20210723_level-04B_run-004,level-04B,True,
sub-cp012_ses-20210723_level-04B_run-006,level-04B,True,
sub-cp012_ses-20210723_level-04B_run-009,level-04B,True,
sub-cp013_ses-20210319_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp013_ses-20210319_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp013_ses-20210319_level-01B_run-001,level-01B,True,
sub-cp013_ses-20210319_level-01B_run-007,level-01B,True,
sub-cp013_ses-20210319_level-01B_run-012,level-01B,True,
sub-cp013_ses-20210319_level-02B_run-003,level-02B,True,
sub-cp013_ses-20210319_level-02B_run-008,level-02B,True,
sub-cp013_ses-20210319_level-02B_run-010,level-02B,True,
sub-cp013_ses-20210319_level-03B_run-002,level-03B,True,
sub-cp013_ses-20210319_level-03B_run-005,level-03B,True,
sub-cp013_ses-20210319_level-03B_run-011,level-03B,True,
sub-cp013_ses-20210319_level-04B_run-004,level-04B,True,
sub-cp013_ses-20210319_level-04B_run-006,level-04B,True,
sub-cp013_ses-20210319_level-04B_run-009,level-04B,True,
sub-cp014_ses-20211112_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp014_ses-20211112_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp014_ses-20211112_level-01B_run-001,level-01B,True,
sub-cp014_ses-20211112_level-01B_run-007,level-01B,True,
sub-cp014_ses-20211112_level-01B_run-012,level-01B,True,
sub-cp014_ses-20211112_level-02B_run-003,level-02B,True,
sub-cp014_ses-20211112_level-02B_run-008,level-02B,True,
sub-cp014_ses-20211112_level-02B_run-010,level-02B,True,
sub-cp014_ses-20211112_level-03B_run-002,level-03B,True,
sub-cp014_ses-20211112_level-03B_run-005,level-03B,True,
sub-cp014_ses-20211112_level-03B_run-011,level-03B,True,
sub-cp014_ses-20211112_level-04B_run-004,level-04B,True,
sub-cp014_ses-20211112_level-04B_run-006,level-04B,True,
sub-cp014_ses-20211112_level-04B_run-009,level-04B,True,
sub-cp015_ses-20210504_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp015_ses-20210504_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp015_ses-20210504_level-01B_run-001,level-01B,True,
sub-cp015_ses-20210504_level-01B_run-007,level-01B,True,
sub-cp015_ses-20210504_level-01B_run-012,level-01B,True,
sub-cp015_ses-20210504_level-02B_run-003,level-02B,True,
sub-cp015_ses-20210504_level-02B_run-008,level-02B,True,
sub-cp015_ses-20210504_level-02B_run-010,level-02B,True,
sub-cp015_ses-20210504_level-03B_run-002,level-03B,True,
sub-cp015_ses-20210504_level-03B_run-005,level-03B,True,
sub-cp015_ses-20210504_level-03B_run-011,level-03B,True,
sub-cp015_ses-20210504_level-04B_run-004,level-04B,True,
sub-cp015_ses-20210504_level-04B_run-006,level-04B,True,
sub-cp015_ses-20210504_level-04B_run-009,level-04B,True,
sub-cp016_ses-20210528_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp016_ses-20210528_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp016_ses-20210528_level-01B_run-001,level-01B,True,
sub-cp016_ses-20210528_level-01B_run-007,level-01B,True,
sub-cp016_ses-20210528_level-01B_run-012,level-01B,True,
sub-cp016_ses-20210528_level-02B_run-003,level-02B,True,
sub-cp016_ses-20210528_level-02B_run-008,level-02B,True,
sub-cp016_ses-20210528_level-02B_run-010,level-02B,True,
sub-cp016_ses-20210528_level-03B_run-002,level-03B,True,
sub-cp016_ses-20210528_level-03B_run-005,level-03B,True,
sub-cp016_ses-20210528_level-03B_run-011,level-03B,True,
sub-cp016_ses-20210528_level-04B_run-004,level-04B,True,
sub-cp016_ses-20210528_level-04B_run-006,level-04B,True,
sub-cp016_ses-20210528_level-04B_run-009,level-04B,True,
sub-cp017_ses-20210521_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp017_ses-20210521_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp017_ses-20210521_level-01B_run-001,level-01B,True,
sub-cp017_ses-20210521_level-01B_run-007,level-01B,True,
sub-cp017_ses-20210521_level-01B_run-012,level-01B,True,
sub-cp017_ses-20210521_level-02B_run-003,level-02B,True,
sub-cp017_ses-20210521_level-02B_run-008,level-02B,True,
sub-cp017_ses-20210521_level-02B_run-010,level-02B,True,
sub-cp017_ses-20210521_level-03B_run-002,level-03B,True,
sub-cp017_ses-20210521_level-03B_run-005,level-03B,True,
sub-cp017_ses-20210521_level-03B_run-011,level-03B,True,
sub-cp017_ses-20210521_level-04B_run-004,level-04B,True,
sub-cp017_ses-20210521_level-04B_run-006,level-04B,True,
sub-cp017_ses-20210521_level-04B_run-009,level-04B,True,
sub-cp018_ses-20210709_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp018_ses-20210709_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp018_ses-20210709_level-01B_run-001,level-01B,True,
sub-cp018_ses-20210709_level-01B_run-007,level-01B,True,
sub-cp018_ses-20210709_level-01B_run-012,level-01B,True,
sub-cp018_ses-20210709_level-02B_run-003,level-02B,True,
sub-cp018_ses-20210709_level-02B_run-008,level-02B,True,
sub-cp018_ses-20210709_level-02B_run-010,level-02B,True,
sub-cp018_ses-20210709_level-03B_run-002,level-03B,True,
sub-cp018_ses-20210709_level-03B_run-005,level-03B,True,
sub-cp018_ses-20210709_level-03B_run-011,level-03B,True,
sub-cp018_ses-20210709_level-04B_run-004,level-04B,True,
sub-cp018_ses-20210709_level-04B_run-006,level-04B,True,
sub-cp018_ses-20210709_level-04B_run-009,level-04B,True,
sub-cp019_ses-20210625_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp019_ses-20210625_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp019_ses-20210625_level-01B_run-001,level-01B,True,
sub-cp019_ses-20210625_level-01B_run-007,level-01B,True,
sub-cp019_ses-20210625_level-01B_run-012,level-01B,True,
sub-cp019_ses-20210625_level-02B_run-003,level-02B,True,
sub-cp019_ses-20210625_level-02B_run-008,level-02B,True,
sub-cp019_ses-20210625_level-02B_run-010,level-02B,True,
sub-cp019_ses-20210625_level-03B_run-002,level-03B,True,
sub-cp019_ses-20210625_level-03B_run-005,level-03B,True,
sub-cp019_ses-20210625_level-03B_run-011,level-03B,True,
sub-cp019_ses-20210625_level-04B_run-004,level-04B,True,
sub-cp019_ses-20210625_level-04B_run-006,level-04B,True,
sub-cp019_ses-20210625_level-04B_run-009,level-04B,True,
sub-cp020_ses-20210604_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp020_ses-20210604_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp020_ses-20210604_level-01B_run-001,level-01B,True,
sub-cp020_ses-20210604_level-01B_run-007,level-01B,True,
sub-cp020_ses-20210604_level-01B_run-012,level-01B,True,
sub-cp020_ses-20210604_level-02B_run-003,level-02B,True,
sub-cp020_ses-20210604_level-02B_run-008,level-02B,True,
sub-cp020_ses-20210604_level-02B_run-010,level-02B,True,
sub-cp020_ses-20210604_level-03B_run-002,level-03B,True,
sub-cp020_ses-20210604_level-03B_run-005,level-03B,True,
sub-cp020_ses-20210604_level-03B_run-011,level-03B,True,
sub-cp020_ses-20210604_level-04B_run-004,level-04B,True,
sub-cp020_ses-20210604_level-04B_run-006,level-04B,True,
sub-cp020_ses-20210604_level-04B_run-009,level-04B,True,
sub-cp022_ses-20210621_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp022_ses-20210621_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp022_ses-20210621_level-01B_run-001,level-01B,True,
sub-cp022_ses-20210621_level-01B_run-007,level-01B,True,
sub-cp022_ses-20210621_level-01B_run-012,level-01B,True,
sub-cp022_ses-20210621_level-02B_run-003,level-02B,True,
sub-cp022_ses-20210621_level-02B_run-008,level-02B,True,
sub-cp022_ses-20210621_level-02B_run-010,level-02B,True,
sub-cp022_ses-20210621_level-03B_run-002,level-03B,True,
sub-cp022_ses-20210621_level-03B_run-005,level-03B,True,
sub-cp022_ses-20210621_level-03B_run-011,level-03B,True,
sub-cp022_ses-20210621_level-04B_run-004,level-04B,True,
sub-cp022_ses-20210621_level-04B_run-006,level-04B,True,
sub-cp022_ses-20210621_level-04B_run-009,level-04B,True,
sub-cp023_ses-20210628_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp023_ses-20210628_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp023_ses-20210628_level-01B_run-001,level-01B,True,
sub-cp023_ses-20210628_level-01B_run-007,level-01B,True,
sub-cp023_ses-20210628_level-01B_run-012,level-01B,True,
sub-cp023_ses-20210628_level-02B_run-003,level-02B,True,
sub-cp023_ses-20210628_level-02B_run-008,level-02B,True,
sub-cp023_ses-20210628_level-02B_run-010,level-02B,True,
sub-cp023_ses-20210628_level-03B_run-002,level-03B,True,
sub-cp023_ses-20210628_level-03B_run-005,level-03B,True,
sub-cp023_ses-20210628_level-03B_run-011,level-03B,True,
sub-cp023_ses-20210628_level-04B_run-004,level-04B,True,
sub-cp023_ses-20210628_level-04B_run-006,level-04B,True,
sub-cp023_ses-20210628_level-04B_run-009,level-04B,True,
sub-cp024_ses-20210629_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp024_ses-20210629_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp024_ses-20210629_level-01B_run-001,level-01B,True,
sub-cp024_ses-20210629_level-01B_run-007,level-01B,True,
sub-cp024_ses-20210629_level-01B_run-012,level-01B,True,
sub-cp024_ses-20210629_level-02B_run-003,level-02B,True,
sub-cp024_ses-20210629_level-02B_run-008,level-02B,True,
sub-cp024_ses-20210629_level-02B_run-010,level-02B,True,
sub-cp024_ses-20210629_level-03B_run-002,level-03B,True,
sub-cp024_ses-20210629_level-03B_run-005,level-03B,True,
sub-cp024_ses-20210629_level-03B_run-011,level-03B,True,
sub-cp024_ses-20210629_level-04B_run-004,level-04B,True,
sub-cp024_ses-20210629_level-04B_run-006,level-04B,True,
sub-cp024_ses-20210629_level-04B_run-009,level-04B,True,
sub-cp025_ses-20210820_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp025_ses-20210820_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp025_ses-20210820_level-01B_run-001,level-01B,True,
sub-cp025_ses-20210820_level-01B_run-007,level-01B,True,
sub-cp025_ses-20210820_level-01B_run-012,level-01B,True,
sub-cp025_ses-20210820_level-02B_run-003,level-02B,True,
sub-cp025_ses-20210820_level-02B_run-008,level-02B,True,
sub-cp025_ses-20210820_level-02B_run-010,level-02B,True,
sub-cp025_ses-20210820_level-03B_run-002,level-03B,True,
sub-cp025_ses-20210820_level-03B_run-005,level-03B,True,
sub-cp025_ses-20210820_level-03B_run-011,level-03B,True,
sub-cp025_ses-20210820_level-04B_run-004,level-04B,True,
sub-cp025_ses-20210820_level-04B_run-006,level-04B,True,
sub-cp025_ses-20210820_level-04B_run-009,level-04B,True,
sub-cp026_ses-20210716_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp026_ses-20210716_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp026_ses-20210716_level-01B_run-001,level-01B,True,
sub-cp026_ses-20210716_level-01B_run-007,level-01B,True,
sub-cp026_ses-20210716_level-01B_run-012,level-01B,True,
sub-cp026_ses-20210716_level-02B_run-003,level-02B,True,
sub-cp026_ses-20210716_level-02B_run-008,level-02B,True,
sub-cp026_ses-20210716_level-02B_run-010,level-02B,True,
sub-cp026_ses-20210716_level-03B_run-002,level-03B,True,
sub-cp026_ses-20210716_level-03B_run-005,level-03B,True,
sub-cp026_ses-20210716_level-03B_run-011,level-03B,True,
sub-cp026_ses-20210716_level-04B_run-004,level-04B,True,
sub-cp026_ses-20210716_level-04B_run-006,level-04B,True,
sub-cp026_ses-20210716_level-04B_run-009,level-04B,True,
sub-cp027_ses-20210722_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp027_ses-20210722_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp027_ses-20210722_level-01B_run-001,level-01B,True,
sub-cp027_ses-20210722_level-01B_run-007,level-01B,True,
sub-cp027_ses-20210722_level-01B_run-012,level-01B,True,
sub-cp027_ses-20210722_level-02B_run-003,level-02B,True,
sub-cp027_ses-20210722_level-02B_run-008,level-02B,True,
sub-cp027_ses-20210722_level-02B_run-010,level-02B,True,
sub-cp027_ses-20210722_level-03B_run-002,level-03B,True,
sub-cp027_ses-20210722_level-03B_run-005,level-03B,True,
sub-cp027_ses-20210722_level-03B_run-011,level-03B,True,
sub-cp027_ses-20210722_level-04B_run-004,level-04B,True,
sub-cp027_ses-20210722_level-04B_run-006,level-04B,True,
sub-cp027_ses-20210722_level-04B_run-009,level-04B,True,
sub-cp028_ses-20211214_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp028_ses-20211214_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp028_ses-20211214_level-01B_run-001,level-01B,True,
sub-cp028_ses-20211214_level-01B_run-007,level-01B,True,
sub-cp028_ses-20211214_level-01B_run-012,level-01B,True,
sub-cp028_ses-20211214_level-02B_run-003,level-02B,True,
sub-cp028_ses-20211214_level-02B_run-008,level-02B,True,
sub-cp028_ses-20211214_level-02B_run-010,level-02B,True,
sub-cp028_ses-20211214_level-03B_run-002,level-03B,True,
sub-cp028_ses-20211214_level-03B_run-005,level-03B,True,
sub-cp028_ses-20211214_level-03B_run-011,level-03B,True,
sub-cp028_ses-20211214_level-04B_run-004,level-04B,True,
sub-cp028_ses-20211214_level-04B_run-006,level-04B,True,
sub-cp028_ses-20211214_level-04B_run-009,level-04B,True,
sub-cp029_ses-20220119_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp029_ses-20220119_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp029_ses-20220119_level-01B_run-001,level-01B,True,
sub-cp029_ses-20220119_level-01B_run-007,level-01B,True,
sub-cp029_ses-20220119_level-01B_run-012,level-01B,True,
sub-cp029_ses-20220119_level-02B_run-003,level-02B,True,
sub-cp029_ses-20220119_level-02B_run-008,level-02B,True,
sub-cp029_ses-20220119_level-02B_run-010,level-02B,True,
sub-cp029_ses-20220119_level-03B_run-002,level-03B,True,
sub-cp029_ses-20220119_level-03B_run-005,level-03B,True,
sub-cp029_ses-20220119_level-03B_run-011,level-03B,True,
sub-cp029_ses-20220119_level-04B_run-004,level-04B,True,
sub-cp029_ses-20220119_level-04B_run-006,level-04B,True,
sub-cp029_ses-20220119_level-04B_run-009,level-04B,True,
sub-cp030_ses-20211025_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp030_ses-20211025_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp030_ses-20211025_level-01B_run-001,level-01B,True,
sub-cp030_ses-20211025_level-01B_run-007,level-01B,True,
sub-cp030_ses-20211025_level-01B_run-012,level-01B,True,
sub-cp030_ses-20211025_level-02B_run-003,level-02B,True,
sub-cp030_ses-20211025_level-02B_run-008,level-02B,True,
sub-cp030_ses-20211025_level-02B_run-010,level-02B,True,
sub-cp030_ses-20211025_level-03B_run-002,level-03B,True,
sub-cp030_ses-20211025_level-03B_run-011,level-03B,True,
sub-cp030_ses-20211025_level-04B_run-004,level-04B,True,
sub-cp030_ses-20211025_level-04B_run-006,level-04B,True,
sub-cp030_ses-20211025_level-04B_run-009,level-04B,True,
sub-cp031_ses-20211216_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp031_ses-20211216_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp031_ses-20211216_level-01B_run-001,level-01B,True,
sub-cp031_ses-20211216_level-01B_run-007,level-01B,True,
sub-cp031_ses-20211216_level-02B_run-003,level-02B,True,
sub-cp031_ses-20211216_level-02B_run-008,level-02B,True,
sub-cp031_ses-20211216_level-02B_run-010,level-02B,True,
sub-cp031_ses-20211216_level-02B_run-012,level-02B,True,
sub-cp031_ses-20211216_level-03B_run-002,level-03B,True,
sub-cp031_ses-20211216_level-03B_run-005,level-03B,True,
sub-cp031_ses-20211216_level-03B_run-011,level-03B,True,
sub-cp031_ses-20211216_level-04B_run-004,level-04B,True,
sub-cp031_ses-20211216_level-04B_run-006,level-04B,True,
sub-cp031_ses-20211216_level-04B_run-009,level-04B,True,
sub-cp032_ses-20211105_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp032_ses-20211105_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp032_ses-20211105_level-01B_run-001,level-01B,True,
sub-cp032_ses-20211105_level-01B_run-007,level-01B,True,
sub-cp032_ses-20211105_level-01B_run-012,level-01B,True,
sub-cp032_ses-20211105_level-02B_run-003,level-02B,True,
sub-cp032_ses-20211105_level-02B_run-008,level-02B,True,
sub-cp032_ses-20211105_level-02B_run-010,level-02B,True,
sub-cp032_ses-20211105_level-03B_run-002,level-03B,True,
sub-cp032_ses-20211105_level-03B_run-005,level-03B,True,
sub-cp032_ses-20211105_level-03B_run-011,level-03B,True,
sub-cp032_ses-20211105_level-04B_run-004,level-04B,True,
sub-cp032_ses-20211105_level-04B_run-006,level-04B,True,
sub-cp032_ses-20211105_level-04B_run-009,level-04B,True,
sub-cp033_ses-20211215_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp033_ses-20211215_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp033_ses-20211215_level-01B_run-001,level-01B,True,
sub-cp033_ses-20211215_level-01B_run-007,level-01B,True,
