phase,path,sha256,file_size
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\manifests\phase06_final_confirmation_artifact_manifest.json,c79ce812f666b5d257db02280397782c255912149f7230320637e4bbf9689eaf,124394
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\manifests\phase06_input_manifest.json,be8084c7e180eb1f70861ecb08b9b1a53f32b3392a2c535c4a312489d7a64532,8983
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\manifests\phase06_preselection_outer_oof_seal.json,7f78fe0e66f6c020142cc7fe099b7844e84cd34af5c39df5dbf5f48e528a42e9,26520
06,E:\hdc-vr-pilot\experiments\phase_06_hdc_variant_screening\manifests\phase06_quick_screen_artifact_manifest.json,ce9cbd59d2adf5891597cd55b7a5bfead336550698625345352585032ebcc654,123866
07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\manifests\phase07_contract_artifact_manifest.json,3dfe7942649d2ade15f402f0ecabdbb81ce6505a6fa312d1b54f83132e1c96df,3213
07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\manifests\phase07_final_artifact_manifest.json,3074a6e6b3bb9a6fc3065a19d37801876ea37296e1b43f63966a40cbe7371cfe,11913
07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\manifests\phase07_input_manifest.json,d05d80417b49c0de1282594b22ef2e1ce75eef05e7c8fed978c0d5bfef492c45,3561
07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\manifests\phase07_modality_feature_manifest.json,1bea49fed9577a245b182075875bd2a7226be9f1e64782869ef3bdac86dfe1f4,65552
07,E:\hdc-vr-pilot\experiments\phase_07_unimodal_contribution\manifests\phase07_unimodal_execution_artifact_manifest.json,46a37f0c0e347303ef75f5e0ed7de3c4c8c9f723020c4cd5173a32cdd57dd501,240751
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\manifests\phase08_contract_artifact_manifest.json,5dc900d0be9ef0c04438912719d473bdf4c94732918a3f3f2a86cd64d07032cd,2893
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\manifests\phase08_final_manifest.json,c4de38db0c0d76e5cb06822d895d9ccd823d418c9057d85732d080f5b09cc42b,279582
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\manifests\phase08_flight_feature_provenance_manifest.json,b86994d63338d92688a6b26abf9eed2da463a8bcfe0432add622fefb11dbf2ca,1034639
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\manifests\phase08_fusion_feature_manifest.json,beba7d09bc2f157f1044bf6c0e6b4e5184d4b298c9e3a67b62ba6e26d7e7f77b,202281
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\manifests\phase08_input_manifest.json,2dc288a673b704281a96384bd915d9242e7fcd1064ecf4f653c3b97b0e86a26d,1475
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\manifests\phase08_performance_feature_manifest.json,a4655f65569f55532b2e797072f4daa4cdaa80eb8aea5a86b5ef3e3c2244aa32,3588
08,E:\hdc-vr-pilot\experiments\phase_08_fusion_and_shortcut_analysis\manifests\phase08_to_phase09_generalization_handoff.json,b2c70a59b01fbc7bd66ed41986fb3c01b007d5b8b1d2ebc60bcabd38dbd6569c,3188
09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\manifests\phase09_contract_artifact_manifest.json,c43cc8f9a7911ff602b44bc3fd1e3dd6995323aa3fb0966d9ed970d923ececb5,7393
09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\manifests\phase09_expected_coverage_manifest.json,39467e417f23969c41a4c9a612b12aeed41626b736795a0bfbf61a973eb0a5bd,9488
09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\manifests\phase09_final_manifest.json,8fa96c12fabbe9d75269b1aa579af1af5ff2012ec0e5b99dc33204edcfd4d4fa,1782027
09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\manifests\phase09_input_manifest.json,78e3c1abd3a1640ca65f9fb0016b87539fff67f76696635d6692bdcf18d6217c,1428
09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\manifests\phase09_loso_assignments.csv,15c618d1a377e2e8e8aeb11539e19d09c5e97ec6cdbf3a20bd74d0e47e6133d8,33557
09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\manifests\phase09_loso_feasibility_manifest.json,d39534c661f1e3360fb04dd3373e22eb95aa299c7845f44487b50842be7d1d1e,22505
09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\manifests\phase09_modality_manifest.json,57a217c410f9f409304dd7529f75a7cc6bf30f5677de9eeb2ec74c8459ad55c0,65864
09,E:\hdc-vr-pilot\experiments\phase_09_robustness_and_generalization\manifests\phase09_upstream_freeze_manifest.json,03cec48558758837e575c851b89a81544c3415bac29d71c18c3d3c081d143690,6853
10,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\manifests\phase10_paper_figure_inventory.json,76c7331429b9fb83fa5c0859641ac021c94fd7d03bc1c22c3b710c10616d3e4d,37745
10,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\manifests\phase10_paper_table_inventory.json,1daee614bc5bb9ee5bbe3682e1bc505cb3ed4cea151c335922884246288d0324,101881
10,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\manifests\phase10_prediction_inventory.json,5a19f4f163130cf3dbef6528e844802b79820a0dc3f677c96b4ac662f9529ccb,902158
10,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\manifests\phase10_statistics_inventory.json,89b9efb65b1937fa4bd34027b520e94ea48589ab08c532e7dc74c8ac05bbdffb,16271
10,E:\hdc-vr-pilot\experiments\phase_10_final_synthesis_and_demo_ui\manifests\phase10_upstream_freeze_manifest.json,7b427777d4b79ce14a4e63812ef71a144ab696a63a9f27f91ca4ebfef0de7307,5587
