demo_id,fold,true_difficulty,predicted_difficulty,classification_correct,difficulty_1_cosine,difficulty_2_cosine,difficulty_3_cosine,difficulty_4_cosine,true_difficulty_score,raw_frozen_prediction,bounded_frozen_prediction,absolute_error
DEMO-0034,5,4,4,true,0.7550319552421569,0.7575232148170471,0.7905093193054199,0.8106437921524048,4.0,3.5536911266825797,3.5536911266825797,0.4463088733174203
DEMO-0035,5,4,4,true,0.8134106636047364,0.8286795735359191,0.8554544806480407,0.9198657989501953,4.0,4.343207182669399,4.0,0
DEMO-0036,5,4,4,true,0.8230993270874023,0.8186998724937439,0.8431699633598327,0.8689489126205444,4.0,3.7493041169618193,3.7493041169618193,0.2506958830381807
DEMO-0037,4,1,1,true,0.47615025043487547,0.45953956842422483,0.3465350031852722,0.3235449314117431,1.0,1.3845524433480834,1.3845524433480834,0.3845524433480834
DEMO-0038,4,1,1,true,0.49272953867912295,0.47348967790603635,0.3778757989406586,0.28037474751472474,1.0,1.0771324833908653,1.0771324833908653,0.07713248339086531
DEMO-0039,4,1,1,true,0.4856767296791077,0.4521969258785248,0.3726682424545288,0.30726361870765684,1.0,1.0424518372168057,1.0424518372168057,0.04245183721680568
DEMO-0040,4,2,2,true,0.4073756515979767,0.4848375737667084,0.4049129247665405,0.2803537607192993,2.0,1.8985886916584271,1.8985886916584271,0.1014113083415729
DEMO-0041,4,2,2,true,0.3939950406551361,0.5463511109352112,0.41713808178901673,0.2879223406314849,2.0,2.1221286297096356,2.1221286297096356,0.1221286297096356
DEMO-0042,4,2,2,true,0.4126047968864441,0.5153955101966858,0.3866830587387085,0.29491289854049685,2.0,1.717747136322312,1.717747136322312,0.282252863677688
DEMO-0043,4,3,3,true,0.3415332913398742,0.46931506395339967,0.5262526512145996,0.3197060167789459,3.0,2.98267799745966,2.98267799745966,0.01732200254034
DEMO-0044,4,3,3,true,0.37134755253791807,0.4397515594959259,0.4958276987075806,0.337914764881134,3.0,2.800237967691867,2.800237967691867,0.1997620323081328
DEMO-0045,4,3,3,true,0.356955736875534,0.4321258425712585,0.5011590480804443,0.3322962522506714,3.0,2.930453037643406,2.930453037643406,0.06954696235659386
DEMO-0046,4,4,4,true,0.35942761301994325,0.3285065770149231,0.4073430895805359,0.6153513669967652,4.0,4.179276712300535,4.0,0
DEMO-0047,4,4,4,true,0.3957891047000885,0.3463851809501648,0.4298980593681335,0.5635761141777038,4.0,3.624090352895377,3.624090352895377,0.3759096471046228
DEMO-0048,4,4,4,true,0.3901648879051208,0.34182574748992917,0.4295916795730591,0.5482860088348389,4.0,3.6627243717242655,3.6627243717242655,0.3372756282757345
DEMO-0049,3,1,2,false,0.851127815246582,0.860470998287201,0.8333932757377625,0.8110901355743408,1.0,1.744305682754534,1.744305682754534,0.744305682754534
DEMO-0050,3,1,1,true,0.8627272725105286,0.8378837823867797,0.8140703201293945,0.7201545357704162,1.0,1.224378229568543,1.224378229568543,0.224378229568543
DEMO-0051,3,1,1,true,0.8982845664024353,0.8782864451408386,0.837964653968811,0.7451801657676697,1.0,1.0112269550713213,1.0112269550713213,0.01122695507132132
DEMO-0052,3,2,2,true,0.8675614118576049,0.9105804324150085,0.8627017140388489,0.7667566180229187,2.0,1.9811723604337554,1.9811723604337554,0.01882763956624456
DEMO-0053,3,2,2,true,0.8390844345092774,0.8633602023124695,0.8317978501319885,0.7201577067375183,2.0,1.8541247196906592,1.8541247196906592,0.1458752803093408
DEMO-0054,3,2,2,true,0.8781657218933105,0.8971190214157104,0.8337423086166382,0.7412511587142945,2.0,1.456203827221255,1.456203827221255,0.543796172778745
DEMO-0055,3,3,3,true,0.8626930117607117,0.8841358423233032,0.9008348226547241,0.8091850399971008,3.0,2.8252183310439585,2.8252183310439585,0.1747816689560415
DEMO-0056,3,3,3,true,0.8578642129898071,0.8944602012634277,0.9110968112945557,0.7742030620574951,3.0,2.823868439787345,2.823868439787345,0.1761315602126552
DEMO-0057,3,3,3,true,0.8435997366905212,0.886182713508606,0.8930612683296204,0.7599379658699036,3.0,2.8622353730900167,2.8622353730900167,0.1377646269099833
DEMO-0058,3,4,4,true,0.8223680019378662,0.8518243193626404,0.8735923886299133,0.8874129533767701,4.0,3.8984908330824823,3.8984908330824823,0.1015091669175177
DEMO-0059,3,4,4,true,0.8272058129310608,0.8524345278739929,0.8701971769332886,0.898653531074524,4.0,3.9975452844558332,3.9975452844558332,0.002454715544166763
DEMO-0060,3,4,4,true,0.8492002606391906,0.8519359111785889,0.8684231758117675,0.906263267993927,4.0,4.096063263127898,4.0,0
DEMO-0061,2,1,1,true,0.8228964328765869,0.8167760848999024,0.8103327274322509,0.7875134468078613,1.0,1.5530464894894034,1.5530464894894034,0.5530464894894034
DEMO-0062,2,1,2,false,0.84948228597641,0.8501001715660095,0.8332751154899597,0.8050370216369629,1.0,1.4908285612138257,1.4908285612138257,0.4908285612138257
DEMO-0063,2,1,2,false,0.8558335542678833,0.860103189945221,0.8413811206817627,0.8078189253807068,1.0,1.6698510507293272,1.6698510507293272,0.6698510507293272
DEMO-0064,2,2,2,true,0.8169237971305847,0.84134441614151,0.8109814286231994,0.794376802444458,2.0,1.531863325251409,1.531863325251409,0.4681366747485911
DEMO-0065,2,2,2,true,0.8360669732093811,0.8610177874565125,0.8397239446640015,0.7975006461143493,2.0,1.8217260093296006,1.8217260093296006,0.1782739906703994
DEMO-0066,2,2,2,true,0.8180437207221984,0.8353557348251343,0.8031967282295227,0.7582663536071778,2.0,1.5255169643322493,1.5255169643322493,0.4744830356677507
DEMO-0067,2,3,3,true,0.8228375077247619,0.8358450293540954,0.8418946981430053,0.8303801655769348,3.0,2.87280259114473,2.87280259114473,0.1271974088552699
DEMO-0068,2,3,3,true,0.8475834012031556,0.8724713563919068,0.8740075945854187,0.8288657188415527,3.0,2.692535812973968,2.692535812973968,0.307464187026032
DEMO-0069,2,3,3,true,0.8408947467803956,0.8742549777030945,0.8761791110038757,0.8288733482360839,3.0,2.637076823029993,2.637076823029993,0.362923176970007
DEMO-0070,2,4,4,true,0.8046297430992126,0.8176209330558777,0.8268064260482788,0.8542703032493592,4.0,3.3349558851475427,3.3349558851475427,0.6650441148524573
DEMO-0071,2,4,4,true,0.8081969857215882,0.8336477756500245,0.8537175178527832,0.8685239553451538,4.0,3.8514017707911234,3.8514017707911234,0.1485982292088766
DEMO-0072,2,4,4,true,0.823084831237793,0.830868148803711,0.8391753911972046,0.8764963865280151,4.0,3.6029324003943786,3.6029324003943786,0.3970675996056214
DEMO-0073,1,1,1,true,0.8766314029693604,0.8610124707221984,0.8181824445724487,0.8237280368804931,1.0,1.7409588514530423,1.7409588514530423,0.7409588514530423
DEMO-0074,1,1,1,true,0.8458102107048034,0.7993707895278931,0.7460265517234802,0.7539170622825623,1.0,1.346712531200519,1.346712531200519,0.346712531200519
DEMO-0075,1,1,1,true,0.8669946789741516,0.8452734351158142,0.8032472252845764,0.81721510887146,1.0,1.7011989817913378,1.7011989817913378,0.7011989817913378
DEMO-0076,1,2,3,false,0.686887550354004,0.7366564393043518,0.7845968842506409,0.774221932888031,2.0,2.9260413447361513,2.9260413447361513,0.9260413447361513
DEMO-0077,1,2,2,true,0.8606311440467834,0.8867983102798462,0.8491182565689087,0.8055478930473328,2.0,1.7287462125784365,1.7287462125784365,0.2712537874215635
DEMO-0078,1,2,2,true,0.8704797625541687,0.9085615992546081,0.9029671549797058,0.793110704421997,2.0,2.423360592232899,2.423360592232899,0.4233605922328989
DEMO-0079,1,3,3,true,0.7272264957427979,0.7563106298446656,0.8316520929336548,0.8065577626228333,3.0,3.0371156918158557,3.0371156918158557,0.03711569181585572
DEMO-0080,1,3,3,true,0.849694550037384,0.8454463958740235,0.8669703483581543,0.8489851951599121,3.0,3.064563049519701,3.064563049519701,0.06456304951970093
DEMO-0081,1,3,3,true,0.8322474837303162,0.8404904127120971,0.8415828824043274,0.8290461540222168,3.0,3.025455593086897,3.025455593086897,0.02545559308689693
DEMO-0082,1,4,4,true,0.7888925433158874,0.8003442287445068,0.8112299561500549,0.8295632243156433,4.0,2.995675426788539,2.995675426788539,1.004324573211461
DEMO-0083,1,4,4,true,0.7691832423210144,0.7850213885307312,0.8319754481315613,0.881635558605194,4.0,3.700364881460593,3.700364881460593,0.2996351185394071
DEMO-0084,1,4,4,true,0.8181034207344056,0.8272929668426514,0.832808768749237,0.8761382579803467,4.0,3.3098745364441355,3.3098745364441355,0.6901254635558645
DEMO-0085,4,1,2,false,0.4541369557380676,0.48791126608848573,0.37803748846054075,0.3029806733131408,1.0,1.2740538916019442,1.2740538916019442,0.2740538916019442
DEMO-0086,4,1,1,true,0.512529057264328,0.4745674908161163,0.3697022676467895,0.3076755940914154,1.0,1.3480400705235485,1.3480400705235485,0.3480400705235485
DEMO-0087,4,1,1,true,0.5225810289382935,0.450053346157074,0.37811746001243585,0.3363345503807068,1.0,1.2950375866418338,1.2950375866418338,0.2950375866418338
DEMO-0088,4,2,2,true,0.3665150821208954,0.5191375494003296,0.45715847611427296,0.29323043227195733,2.0,2.1621937050935496,2.1621937050935496,0.1621937050935496
DEMO-0089,4,2,2,true,0.3811332106590271,0.5619199395179748,0.4336151838302612,0.2649758517742157,2.0,2.1227433442440082,2.1227433442440082,0.1227433442440082
DEMO-0090,4,2,2,true,0.3758044719696045,0.531821608543396,0.4357781410217285,0.2828347086906433,2.0,1.9774306080328379,1.9774306080328379,0.02256939196716212
DEMO-0091,4,3,3,true,0.32793221473693845,0.4662829995155334,0.54052894115448,0.3068325817584991,3.0,3.019850870984148,3.019850870984148,0.01985087098414784
DEMO-0092,4,3,3,true,0.3261944651603699,0.46699899435043335,0.5359302401542664,0.30183454751968386,3.0,2.939941166046153,2.939941166046153,0.06005883395384704
DEMO-0093,4,3,3,true,0.3383302271366119,0.47660592198371887,0.5473418474197388,0.30641029477119447,3.0,3.034288013708516,3.034288013708516,0.0342880137085162
DEMO-0094,4,4,4,true,0.3485830664634704,0.34099159836769105,0.41784189343452455,0.6085907578468323,4.0,3.998927532408979,3.998927532408979,0.001072467591021198
DEMO-0095,4,4,4,true,0.357233726978302,0.3475321054458618,0.428769451379776,0.5876813888549804,4.0,3.8551716492405204,3.8551716492405204,0.1448283507594796
DEMO-0096,4,4,4,true,0.3657176077365875,0.35608503222465515,0.42602031826972964,0.5627106547355651,4.0,3.726373694882966,3.726373694882966,0.273626305117034
DEMO-0097,2,1,3,false,0.8693649291992187,0.8620702385902405,0.8795623540878296,0.8623821616172791,1.0,2.67959703743833,2.67959703743833,1.67959703743833
DEMO-0098,2,1,1,true,0.8611906886100769,0.8186811804771423,0.8221903324127198,0.8039960265159607,1.0,2.1242089441738705,2.1242089441738705,1.124208944173871
DEMO-0099,2,1,1,true,0.8822251439094544,0.8588947296142578,0.8395371913909913,0.8258897185325622,1.0,1.6863861764249388,1.6863861764249388,0.6863861764249388
DEMO-0100,2,2,2,true,0.8222061634063721,0.8589496731758117,0.8583808541297913,0.8416108608245849,2.0,2.9931507649724898,2.9931507649724898,0.9931507649724898
DEMO-0101,2,2,4,false,0.7879796981811523,0.8298245906829834,0.8413032531738281,0.8475193977355957,2.0,3.3670905967908396,3.3670905967908396,1.36709059679084
DEMO-0102,2,2,1,false,0.8503840923309326,0.8332615852355957,0.8451095342636108,0.8155263304710388,2.0,2.5996504848833384,2.5996504848833384,0.5996504848833384
DEMO-0103,2,3,3,true,0.8161109328269959,0.8384555578231812,0.8448571920394897,0.8122244000434875,3.0,2.919667303885501,2.919667303885501,0.08033269611449878
DEMO-0104,2,3,3,true,0.7612755775451661,0.7965580463409424,0.8098153352737427,0.803016746044159,3.0,3.7654670132698747,3.7654670132698747,0.7654670132698747
DEMO-0105,2,3,3,true,0.8147649884223938,0.8404208779335022,0.8594403028488159,0.8554118990898132,3.0,3.584380290359438,3.584380290359438,0.5843802903594382
DEMO-0106,2,4,4,true,0.70135338306427,0.7166652679443359,0.7315112113952636,0.7466234564781189,4.0,3.764313575614936,3.764313575614936,0.2356864243850638
DEMO-0107,2,4,4,true,0.8238208413124084,0.8257635951042175,0.8398244500160217,0.8670081973075867,4.0,3.4534037561263218,3.4534037561263218,0.5465962438736782
DEMO-0108,2,4,4,true,0.7976564526557922,0.8068137526512146,0.8108215689659118,0.8425252318382264,4.0,3.4268918969975153,3.4268918969975153,0.5731081030024847
DEMO-0109,3,1,1,true,0.9015360951423645,0.8850497364997864,0.8327046513557435,0.7646906614303589,1.0,1.282858325247578,1.282858325247578,0.282858325247578
DEMO-0110,3,1,1,true,0.9066365599632263,0.8722071051597595,0.8252029776573181,0.7750319719314576,1.0,1.183468423774861,1.183468423774861,0.1834684237748609
DEMO-0111,3,1,1,true,0.9000432372093201,0.8608384251594543,0.8166068196296692,0.7752038717269898,1.0,1.1646865663976047,1.1646865663976047,0.1646865663976047
DEMO-0112,3,2,2,true,0.8823312878608703,0.9070189237594605,0.8462782382965088,0.7570884466171265,2.0,1.8638786914901708,1.8638786914901708,0.1361213085098292
DEMO-0113,3,2,2,true,0.8636039614677429,0.8985535740852356,0.854723846912384,0.7609529614448547,2.0,2.285882746335037,2.285882746335037,0.2858827463350369
DEMO-0114,3,2,2,true,0.8767732501029968,0.9034690022468567,0.845684814453125,0.7648757338523865,2.0,1.770346833632546,1.770346833632546,0.2296531663674539
DEMO-0115,3,3,2,false,0.8551725625991822,0.9107223510742187,0.9017990112304688,0.7674598813056945,3.0,2.9045002472617965,2.9045002472617965,0.09549975273820355
DEMO-0116,3,3,3,true,0.8377280950546264,0.892790949344635,0.9155764818191529,0.798845648765564,3.0,3.343205748749137,3.343205748749137,0.3432057487491371
DEMO-0117,3,3,3,true,0.8464361071586609,0.8901778101921082,0.9082060933113099,0.7990968227386475,3.0,3.172177318932771,3.172177318932771,0.1721773189327709
DEMO-0118,3,4,4,true,0.8425443530082702,0.8534087777137757,0.876478636264801,0.8904792308807373,4.0,3.629964133695313,3.629964133695313,0.3700358663046872
DEMO-0119,3,4,4,true,0.8340966582298279,0.8519912958145142,0.8721038222312927,0.9123309016227722,4.0,3.933843097944871,3.933843097944871,0.06615690205512914
DEMO-0120,3,4,4,true,0.8341805100440979,0.8509720087051391,0.8713854432106019,0.9058626651763916,4.0,3.8589785644500494,3.8589785644500494,0.1410214355499506
DEMO-0121,2,1,1,true,0.8994708895683289,0.8518141865730285,0.8061843872070312,0.7391215205192566,1.0,0.716883271194228,1.0,0
DEMO-0122,2,1,1,true,0.9021257042884827,0.8768822312355041,0.83187894821167,0.8013123989105224,1.0,1.0591635365495475,1.0591635365495475,0.05916353654954754
DEMO-0123,2,1,1,true,0.8966037511825562,0.8613877415657043,0.834273898601532,0.8072598457336426,1.0,1.2263366032235736,1.2263366032235736,0.2263366032235736
DEMO-0124,2,2,2,true,0.8848471283912659,0.9181181430816651,0.8517063021659851,0.74752858877182,2.0,1.8750140617023068,1.8750140617023068,0.1249859382976932
DEMO-0125,2,2,2,true,0.8856809139251709,0.8975993990898132,0.8568580746650696,0.7838645219802857,2.0,1.6295802361206366,1.6295802361206366,0.3704197638793634
DEMO-0126,2,2,1,false,0.891119658946991,0.877648901939392,0.8487079024314881,0.802299189567566,2.0,1.5763677707550499,1.5763677707550499,0.4236322292449501
DEMO-0127,2,3,3,true,0.8438670754432678,0.8698958635330201,0.8838601350784302,0.7745591640472412,3.0,2.817261014339565,2.817261014339565,0.1827389856604351
DEMO-0128,2,3,3,true,0.8649860262870789,0.864491057395935,0.8790919661521912,0.8219032883644104,3.0,2.893387357500766,2.893387357500766,0.106612642499234
DEMO-0129,2,3,1,false,0.9028695225715637,0.8668213963508606,0.8755146026611328,0.8147077441215516,3.0,2.1773462741591865,2.1773462741591865,0.8226537258408135
DEMO-0130,2,4,4,true,0.8426685810089112,0.8614713072776794,0.8788439512252808,0.91244455575943,4.0,4.256085383956624,4.0,0
DEMO-0131,2,4,3,false,0.8498107433319092,0.8486602902412415,0.8736080527305603,0.8672829985618591,4.0,3.4641207656564794,3.4641207656564794,0.5358792343435206
DEMO-0132,2,4,4,true,0.8610821485519409,0.866413164138794,0.8905224204063416,0.9312449336051941,4.0,3.899513619245044,3.899513619245044,0.1004863807549561
DEMO-0133,1,1,1,true,0.9412672400474549,0.8890275955200195,0.8334661602973938,0.7677998185157776,1.0,1.0154906922138935,1.0154906922138935,0.01549069221389354
DEMO-0134,1,1,1,true,0.8976022839546204,0.8572125673294068,0.8094350695610046,0.7400260686874389,1.0,0.8410565523870271,1.0,0
DEMO-0135,1,1,1,true,0.9256770968437195,0.8790655016899109,0.8429725766181946,0.7776514410972595,1.0,1.0617298737212189,1.0617298737212189,0.06172987372121885
DEMO-0136,1,2,2,true,0.900936758518219,0.9102954864501953,0.8757644891738892,0.7612109541893005,2.0,1.5189104094752133,1.5189104094752133,0.4810895905247867
DEMO-0137,1,2,2,true,0.8913474440574646,0.9139620184898376,0.8402942657470703,0.7333151459693908,2.0,1.7973157644949591,1.7973157644949591,0.2026842355050409
DEMO-0138,1,2,2,true,0.8710411787033081,0.9094819307327271,0.8537035346031189,0.7282662034034729,2.0,2.1199742583309016,2.1199742583309016,0.1199742583309016
DEMO-0139,1,3,3,true,0.8249904990196228,0.8368510365486145,0.8703373432159424,0.726220166683197,3.0,3.1107807591037684,3.1107807591037684,0.1107807591037684
DEMO-0140,1,3,3,true,0.837298309803009,0.8552106976509094,0.8792425751686096,0.7325698018074036,3.0,3.035076878257238,3.035076878257238,0.03507687825723815
DEMO-0141,1,3,3,true,0.83471200466156,0.8501585841178894,0.8700618267059326,0.7245738267898559,3.0,2.873578070279801,2.873578070279801,0.1264219297201992
DEMO-0142,1,4,4,true,0.8377646923065185,0.8370941400527954,0.8693637251853943,0.9102120161056518,4.0,3.8291007669702317,3.8291007669702317,0.1708992330297683
DEMO-0143,1,4,4,true,0.8415432929992676,0.8273133039474487,0.8715654492378235,0.9295790553092956,4.0,4.053768438316775,4.0,0
DEMO-0144,1,4,4,true,0.8474457859992981,0.8245807647705078,0.8645333290100098,0.8955187916755676,4.0,3.693597452574063,3.693597452574063,0.3064025474259369
DEMO-0145,5,1,1,true,0.9124095678329468,0.9061539530754089,0.8684915542602539,0.7979651927947998,1.0,1.4077665102673111,1.4077665102673111,0.4077665102673111
DEMO-0146,5,1,2,false,0.8881048560142517,0.889578354358673,0.8506395697593689,0.7531164288520813,1.0,1.2433993597026647,1.2433993597026647,0.2433993597026647
DEMO-0147,5,1,2,false,0.8611109137535096,0.8640028953552246,0.8268740892410278,0.7367899298667908,1.0,1.2761716553098228,1.2761716553098228,0.2761716553098228
DEMO-0148,5,2,2,true,0.8548755884170532,0.923670518398285,0.8995324850082398,0.756208074092865,2.0,2.2324485294249246,2.2324485294249246,0.2324485294249246
DEMO-0149,5,2,2,true,0.8226329207420349,0.8779734373092651,0.8448740005493164,0.7459033131599426,2.0,2.2437817095043933,2.2437817095043933,0.2437817095043933
DEMO-0150,5,2,2,true,0.8789051532745361,0.9149140954017639,0.8639159321784973,0.7889885663986206,2.0,1.9592937716423027,1.9592937716423027,0.04070622835769733
DEMO-0151,5,3,3,true,0.8319494843482971,0.8767219305038452,0.9102240085601807,0.7660587430000305,3.0,3.1754305417920095,3.1754305417920095,0.1754305417920095
DEMO-0152,5,3,3,true,0.8727132916450501,0.9014341354370117,0.9014532327651977,0.8087261080741882,3.0,2.6453247680402816,2.6453247680402816,0.3546752319597184
DEMO-0153,5,3,3,true,0.8494178652763367,0.8868876576423645,0.916041624546051,0.8054136276245117,3.0,2.965488310211022,2.965488310211022,0.03451168978897812
DEMO-0154,5,4,4,true,0.8307572960853576,0.8390028595924377,0.8616698265075684,0.9160973906517029,4.0,3.8723218722014456,3.8723218722014456,0.1276781277985544
DEMO-0155,5,4,4,true,0.8181991100311279,0.8291499733924865,0.8501626253128052,0.9107194066047668,4.0,4.298927512881282,4.0,0
DEMO-0156,5,4,4,true,0.8257836103439331,0.8329998135566712,0.8486451029777526,0.8971656560897827,4.0,4.00529502943945,4.0,0
DEMO-0157,4,1,1,true,0.4731202840805054,0.4394876718521118,0.392215633392334,0.3286393940448761,1.0,1.2098502377544684,1.2098502377544684,0.2098502377544684
DEMO-0158,4,1,1,true,0.4649656653404236,0.43039581179618835,0.4201450526714325,0.3282033681869507,1.0,1.088801842148213,1.088801842148213,0.08880184214821307
DEMO-0159,4,1,1,true,0.4821081042289734,0.4254082977771759,0.4077798962593079,0.31563933491706847,1.0,0.8359920539566972,1.0,0
DEMO-0160,4,2,2,true,0.39947273135185235,0.507698118686676,0.4159989237785339,0.28298585712909696,2.0,1.9245852433644146,1.9245852433644146,0.07541475663558539
DEMO-0161,4,2,2,true,0.38290237784385683,0.5042767882347107,0.4296279072761536,0.28278454542160036,2.0,1.8537683828230525,1.8537683828230525,0.1462316171769475
DEMO-0162,4,2,2,true,0.4201844871044159,0.47590609192848204,0.412271523475647,0.3102770209312439,2.0,1.713831564255035,1.713831564255035,0.286168435744965
DEMO-0163,4,3,3,true,0.3640716314315796,0.4317925453186035,0.5003329694271088,0.36274991631507875,3.0,2.9611572958393224,2.9611572958393224,0.03884270416067759
DEMO-0164,4,3,3,true,0.3433356165885925,0.45991613268852233,0.5326209664344788,0.30850419998168943,3.0,2.9429428823541586,2.9429428823541586,0.05705711764584143
DEMO-0165,4,3,3,true,0.3565122544765472,0.4278861880302429,0.5121409475803376,0.3198251485824585,3.0,2.724421183218996,2.724421183218996,0.275578816781004
DEMO-0166,4,4,4,true,0.3584960103034973,0.32789005637168883,0.4158634126186371,0.5974250555038452,4.0,4.118409358597155,4.0,0
DEMO-0167,4,4,4,true,0.3657811284065246,0.3241233766078949,0.4036979675292969,0.5826383829116821,4.0,4.047219691701771,4.0,0
DEMO-0168,4,4,4,true,0.37240647673606875,0.3336242258548736,0.41487122178077696,0.586245882511139,4.0,3.892722116348209,3.892722116348209,0.1072778836517911
DEMO-0169,3,1,1,true,0.8560603022575378,0.8511807203292847,0.8202803254127502,0.8007225155830383,1.0,1.374476669049708,1.374476669049708,0.3744766690497081
DEMO-0170,3,1,1,true,0.87356196641922,0.8538828253746032,0.8098511695861816,0.7594049096107482,1.0,0.7597453019813751,1.0,0
DEMO-0171,3,1,1,true,0.869010579586029,0.8569921731948853,0.8263065934181213,0.7605320692062378,1.0,1.3896301491125929,1.3896301491125929,0.3896301491125929
